"","Tar","Item","Condition","Completion","Part","Cloze","Cloze_Balanced","Association_Noun","Association_Verb","Association_MainVerb","article","target","context"
"167","Schloss",42,"C","und stiehlt die Wertsachen.",0,0,0,7,1.8,1.6,"das","Schloss","Im Handumdrehen kopiert der Einbrecher, der den Zahlencode erraten hat, das"
"168","Schloss",42,"D","und stiehlt die Wertsachen.",0,0,0,2.6,1.5,1.6,"das","Schloss","Im Handumdrehen kopiert der Einbrecher, der die Akte durchblättert hat, das"
"169","Zwiebeln",43,"A","und den Knoblauch.",0,0.25,1,5.7,2.3,6.2,"die","Zwiebeln","Routiniert hackte der Küchengehilfe, bevor er die Suppe umrührte, die"
"170","Zwiebeln",43,"B","und den Knoblauch.",0,0.33,1,1.3,1.1,6.2,"die","Zwiebeln","Routiniert hackte der Küchengehilfe, bevor er das Radio einschaltete, die"
"171","Zwiebeln",43,"C","und den Knoblauch.",0,0,1,5.7,2.3,1.3,"die","Zwiebeln","Routiniert schraubte der Küchengehilfe, bevor er die Suppe umrührte, die"
"172","Zwiebeln",43,"D","und den Knoblauch.",0,0,1,1.3,1.1,1.3,"die","Zwiebeln","Routiniert schraubte der Küchengehilfe, bevor er das Radio einschaltete, die"
"173","Wachs",44,"A","und fuhr mit der Arbeit fort.",0,0.83,1,6.7,2.3,6.3,"das","Wachs","Umsichtig schmolz der Kerzenzieher, nachdem er den Docht gekürzt hatte, das"
"174","Wachs",44,"B","und fuhr mit der Arbeit fort.",0,0.83,1,1.5,1.4,6.3,"das","Wachs","Umsichtig schmolz der Kerzenzieher, nachdem er das Nähkästchen zugeklappt hatte, das"
"175","Wachs",44,"C","und fuhr mit der Arbeit fort.",0,0,1,6.7,2.3,1,"das","Wachs","Umsichtig würzte der Kerzenzieher, nachdem er den Docht gekürzt hatte, das"
"176","Wachs",44,"D","und fuhr mit der Arbeit fort.",0,0,1,1.5,1.4,1,"das","Wachs","Umsichtig würzte der Kerzenzieher, nachdem er das Nähkästchen zugeklappt hatte, das"
"177","Cocktail",45,"A","für den Touristen.",0,0.5,0,6.2,1.4,6.9,"den","Cocktail","Gestern mixte der Barkeeper, der den Wodka geöffnet hatte, den"
"178","Cocktail",45,"B","für den Touristen.",0,0.83,0,1.3,1,6.9,"den","Cocktail","Gestern mixte der Barkeeper, der den Boden gefegt hatte, den"
"179","Cocktail",45,"C","für den Touristen.",0,0,0,6.2,1.4,1.6,"den","Cocktail","Gestern gründete der Barkeeper, der den Wodka geöffnet hatte, den"
"180","Cocktail",45,"D","für den Touristen.",0,0.08,0,1.3,1,1.6,"den","Cocktail","Gestern gründete der Barkeeper, der den Boden gefegt hatte, den"
"181","Orchester",46,"A","und das Streichquartett.",0,0.25,1,6.8,3.6,6.8,"das","Orchester","Am Abend dirigiert der Kapellmeister, der das Konzert eröffnet hat, das"
"182","Orchester",46,"B","und das Streichquartett.",0,0.25,1,1.6,1.4,6.8,"das","Orchester","Am Abend dirigiert der Kapellmeister, der die Unterschriften gesammelt hat, das"
"183","Orchester",46,"C","und das Streichquartett.",0,0,1,6.8,3.6,1.3,"das","Orchester","Am Abend vernichtet der Kapellmeister, der das Konzert eröffnet hat, das"
"184","Orchester",46,"D","und das Streichquartett.",0,0,1,1.6,1.4,1.3,"das","Orchester","Am Abend vernichtet der Kapellmeister, der die Unterschriften gesammelt hat, das"
"185","Wort",47,"A","und notiert es.",3,0.83,0,6.3,3.6,6.8,"das","Wort","Direkt buchstabiert der Sprachschüler, nachdem er das Buch aufgeschlagen hat, das"
"186","Wort",47,"B","und notiert es.",3,0.67,0,3,2.7,6.8,"das","Wort","Direkt buchstabiert der Sprachschüler, nachdem er den Pausenhof verlassen hat, das"
"187","Wort",47,"C","und notiert es.",3,0,0,6.3,3.6,1.7,"das","Wort","Direkt dekoriert der Sprachschüler, nachdem er das Buch aufgeschlagen hat, das"
"188","Wort",47,"D","und notiert es.",3,0,0,3,2.7,1.7,"das","Wort","Direkt dekoriert der Sprachschüler, nachdem er den Pausenhof verlassen hat, das"
"189","Weide",48,"A","mit einem Draht.",0,0.67,0,6.7,5.4,6,"die","Weide","Vorsichtig umzäunt der Schäfer, der die Schafe gehütet hat, die"
"190","Weide",48,"B","mit einem Draht.",0,0.42,0,1.4,1.4,6,"die","Weide","Vorsichtig umzäunt der Schäfer, der das Mittagessen vergessen hat, die"
"191","Weide",48,"C","mit einem Draht.",0,0,0,6.7,5.4,1,"die","Weide","Vorsichtig fälscht der Schäfer, der die Schafe gehütet hat, die"
"192","Weide",48,"D","mit einem Draht.",0,0,0,1.4,1.4,1,"die","Weide","Vorsichtig fälscht der Schäfer, der das Mittagessen vergessen hat, die"
"193","Predigt",49,"A","für die Gemeinde.",0,0.25,0,6.2,2.1,6.2,"die","Predigt","Nachdenklich hält der Pfarrer, nachdem er die Bibel aufgeschlagen hat, die"
"194","Predigt",49,"B","für die Gemeinde.",0,0.5,0,1.6,2.9,6.2,"die","Predigt","Nachdenklich hält der Pfarrer, nachdem er die Brille aufgesetzt hat, die"
"195","Predigt",49,"C","für die Gemeinde.",0,0,0,6.2,2.1,1.3,"die","Predigt","Nachdenklich leert der Pfarrer, nachdem er die Bibel aufgeschlagen hat, die"
"196","Predigt",49,"D","für die Gemeinde.",0,0,0,1.6,2.9,1.3,"die","Predigt","Nachdenklich leert der Pfarrer, nachdem er die Brille aufgesetzt hat, die"
"197","Wohnung",50,"A","mit neuen Möbeln.",0,0.5,0,7,2.7,6.8,"die","Wohnung","Unverzüglich möblierte der Vermieter, der den Mieter aufgenommen hatte, die"
"198","Wohnung",50,"B","mit neuen Möbeln.",0,0.75,0,4.7,3.6,6.8,"die","Wohnung","Unverzüglich möblierte der Vermieter, der die Überweisung erhalten hatte, die"
"199","Wohnung",50,"C","mit neuen Möbeln.",0,0,0,7,2.7,1.4,"die","Wohnung","Unverzüglich erntete der Vermieter, der den Mieter aufgenommen hatte, die"
"200","Wohnung",50,"D","mit neuen Möbeln.",0,0,0,4.7,3.6,1.4,"die","Wohnung","Unverzüglich erntete der Vermieter, der die Überweisung erhalten hatte, die"
"201","Abzug",51,"A","und trifft das Opfer.",2,0.5,0,3.2,4.4,5.9,"den","Abzug","Sofort betätigt der Killer, der das Ziel anvisiert hat, den"
"202","Abzug",51,"B","und trifft das Opfer.",2,0.33,0,1.4,3,5.9,"den","Abzug","Sofort betätigt der Killer, der den Tee abgestellt hat, den"
"203","Abzug",51,"C","und trifft das Opfer.",2,0,0,3.2,4.4,1.6,"den","Abzug","Sofort knickt der Killer, der das Ziel anvisiert hat, den"
"204","Abzug",51,"D","und trifft das Opfer.",2,0,0,1.4,3,1.6,"den","Abzug","Sofort knickt der Killer, der den Tee abgestellt hat, den"
"205","Paket",52,"A","mit der Arbeitskleidung.",0,0.42,1,6.7,4.4,6.5,"das","Paket","Heute überbringt der Bote, als er den Empfänger angetroffen hat, das"
"206","Paket",52,"B","mit der Arbeitskleidung.",0,0.33,1,3.6,1.2,6.5,"das","Paket","Heute überbringt der Bote, als er das Foyer durchquert hat, das"
"207","Paket",52,"C","mit der Arbeitskleidung.",0,0,1,6.7,4.4,1.3,"das","Paket","Heute erntet der Bote, als er den Empfänger angetroffen hat, das"
"208","Paket",52,"D","mit der Arbeitskleidung.",0,0,1,3.6,1.2,1.3,"das","Paket","Heute erntet der Bote, als er das Foyer durchquert hat, das"
"209","Tor",53,"A","und jubelte über seinen Erfolg.",3,0.92,0,6.8,3.4,6.9,"das","Tor","Schnell schoss der Fußballspieler, der das Fußballfeld überquert hatte, das"
"210","Tor",53,"B","und jubelte über seinen Erfolg.",3,0.67,0,1.6,2.7,6.9,"das","Tor","Schnell schoss der Fußballspieler, der die Jacke ausgezogen hatte, das"
"211","Tor",53,"C","und jubelte über seinen Erfolg.",3,0,0,6.8,3.4,1.5,"das","Tor","Schnell spürte der Fußballspieler, der das Fußballfeld überquert hatte, das"
"212","Tor",53,"D","und jubelte über seinen Erfolg.",3,0,0,1.6,2.7,1.5,"das","Tor","Schnell spürte der Fußballspieler, der die Jacke ausgezogen hatte, das"
"213","Flugzeug",54,"A","durch die Wolken.",0,1,1,7,1.8,5.8,"das","Flugzeug","Konzentriert steuerte der Pilot, der die Stewardess gerufen hatte, das"
"214","Flugzeug",54,"B","durch die Wolken.",0,0.92,1,1.6,3.4,5.8,"das","Flugzeug","Konzentriert steuerte der Pilot, der den Krimi gelesen hatte, das"
"215","Flugzeug",54,"C","durch die Wolken.",0,0,1,7,1.8,3.1,"das","Flugzeug","Konzentriert faltete der Pilot, der die Stewardess gerufen hatte, das"
"216","Flugzeug",54,"D","durch die Wolken.",0,0.08,1,1.6,3.4,3.1,"das","Flugzeug","Konzentriert faltete der Pilot, der den Krimi gelesen hatte, das"
"217","Skizze",55,"A","für den Bauherrn.",0,0.42,0,6.4,6.5,6.7,"die","Skizze","Rasch entwarf der Architekt, bevor er den Bauplan erstellte, die"
"218","Skizze",55,"B","für den Bauherrn.",0,0.25,0,4.3,4.7,6.7,"die","Skizze","Rasch entwarf der Architekt, bevor er den Vortrag schrieb, die"
"219","Skizze",55,"C","für den Bauherrn.",0,0,0,6.4,6.5,1.2,"die","Skizze","Rasch schüttelte der Architekt, bevor er den Bauplan erstellte, die"
"220","Skizze",55,"D","für den Bauherrn.",0,0,0,4.3,4.7,1.2,"die","Skizze","Rasch schüttelte der Architekt, bevor er den Vortrag schrieb, die"
"221","Kamin",56,"A","und verlässt das Grundstück.",1,0.42,0,6.8,3,6.4,"den","Kamin","Geschwind kehrt der Schornsteinfeger, der den Rauch einatmet, den"
"222","Kamin",56,"B","und verlässt das Grundstück.",1,0.17,0,3,1.3,6.4,"den","Kamin","Geschwind kehrt der Schornsteinfeger, der die Katze verscheucht, den"
"223","Kamin",56,"C","und verlässt das Grundstück.",1,0,0,6.8,3,1.1,"den","Kamin","Geschwind wirft der Schornsteinfeger, der den Rauch einatmet, den"
"224","Kamin",56,"D","und verlässt das Grundstück.",1,0.08,0,3,1.3,1.1,"den","Kamin","Geschwind wirft der Schornsteinfeger, der die Katze verscheucht, den"
"225","Wahl",57,"A","zum Minister.",0,1,0,6.5,5.3,6.7,"die","Wahl","Vorgestern gewann der Politiker, der die Stimmen zählte, die"
"226","Wahl",57,"B","zum Minister.",0,0.58,0,2.8,1.6,6.7,"die","Wahl","Vorgestern gewann der Politiker, der die Hände schüttelte, die"
"227","Wahl",57,"C","zum Minister.",0,0.08,0,6.5,5.3,1.6,"die","Wahl","Vorgestern reparierte der Politiker, der die Stimmen zählte, die"
"228","Wahl",57,"D","zum Minister.",0,0,0,2.8,1.6,1.6,"die","Wahl","Vorgestern reparierte der Politiker, der die Hände schüttelte, die"
"229","Foto",58,"A","von der Unfallstelle.",0,0.67,0,6.7,2.1,6.7,"das","Foto","Sofort schoss der Reporter, der die Kamera bediente, das"
"230","Foto",58,"B","von der Unfallstelle.",0,0.5,0,1.6,1.6,6.7,"das","Foto","Sofort schoss der Reporter, der die Zigarette rauchte, das"
"231","Foto",58,"C","von der Unfallstelle.",0,0,0,6.7,2.1,1.7,"das","Foto","Sofort verspeiste der Reporter, der die Kamera bediente, das"
"232","Foto",58,"D","von der Unfallstelle.",0,0,0,1.6,1.6,1.7,"das","Foto","Sofort verspeiste der Reporter, der die Zigarette rauchte, das"
"233","Programm",59,"A","für seinen Boss.",0,0.5,0,6.9,5.8,6.7,"das","Programm","Unverzüglich entwickelte der Informatiker, der den Computer hochfuhr, das"
"234","Programm",59,"B","für seinen Boss.",0,0.75,0,1.8,2,6.7,"das","Programm","Unverzüglich entwickelte der Informatiker, der den Energydrink trank, das"
"235","Programm",59,"C","für seinen Boss.",0,0,0,6.9,5.8,4.5,"das","Programm","Unverzüglich trocknete der Informatiker, der den Computer hochfuhr, das"
"236","Programm",59,"D","für seinen Boss.",0,0,0,1.8,2,4.5,"das","Programm","Unverzüglich trocknete der Informatiker, der den Energydrink trank, das"
"237","Urteil",60,"A","und schloss die Verhandlung.",0,1,1,7,4.5,6.7,"das","Urteil","Nun verkündete der Richter, nachdem er den Angeklagten hereingerufen hatte, das"
"238","Urteil",60,"B","und schloss die Verhandlung.",0,1,1,1.9,2.8,6.7,"das","Urteil","Nun verkündete der Richter, nachdem er die Lesebrille aufgesetzt hatte, das"
"239","Urteil",60,"C","und schloss die Verhandlung.",0,0,1,7,4.5,1.7,"das","Urteil","Nun roch der Richter, nachdem er den Angeklagten hereingerufen hatte, das"
"240","Urteil",60,"D","und schloss die Verhandlung.",0,0,1,1.9,2.8,1.7,"das","Urteil","Nun roch der Richter, nachdem er die Lesebrille aufgesetzt hatte, das"
"241","Prüfung",61,"A","in Mathematik.",0,0.58,0,6.6,5,5.8,"die","Prüfung","Zunächst bestand der Student, der das Studium wiederaufnahm, die"
"242","Prüfung",61,"B","in Mathematik.",0,0.25,0,2,1.3,5.8,"die","Prüfung","Zunächst bestand der Student, der das Jackett auszog, die"
"243","Prüfung",61,"C","in Mathematik.",0,0,0,6.6,5,3.4,"die","Prüfung","Zunächst kochte der Student, der das Studium wiederaufnahm, die"
"244","Prüfung",61,"D","in Mathematik.",0,0,0,2,1.3,3.4,"die","Prüfung","Zunächst kochte der Student, der das Jackett auszog, die"
"245","Lied",62,"A","über die Vergangenheit.",1,0.58,1,6.3,1.3,7,"das","Lied","Konzentriert sang der Sänger, der das Mikrofon umklammerte, das"
"246","Lied",62,"B","über die Vergangenheit.",1,0.58,1,1.9,1.5,7,"das","Lied","Konzentriert sang der Sänger, der den Hut abnahm, das"
"247","Lied",62,"C","über die Vergangenheit.",1,0,1,6.3,1.3,1.1,"das","Lied","Konzentriert reparierte der Sänger, der das Mikrofon umklammerte, das"
"248","Lied",62,"D","über die Vergangenheit.",1,0,1,1.9,1.5,1.1,"das","Lied","Konzentriert reparierte der Sänger, der den Hut abnahm, das"
"249","Farbe",63,"A","für den nächsten Auftrag.",0,0.92,1,6.9,3.5,6.3,"die","Farbe","Zufrieden mischte der Anstreicher, der die Pinsel gewaschen hatte, die"
"250","Farbe",63,"B","für den nächsten Auftrag.",0,1,1,3.5,1.8,6.3,"die","Farbe","Zufrieden mischte der Anstreicher, der die Plätzchen gegessen hatte, die"
"251","Farbe",63,"C","für den nächsten Auftrag.",0,0,1,6.9,3.5,1.4,"die","Farbe","Zufrieden würzte der Anstreicher, der die Pinsel gewaschen hatte, die"
"252","Farbe",63,"D","für den nächsten Auftrag.",0,0,1,3.5,1.8,1.4,"die","Farbe","Zufrieden würzte der Anstreicher, der die Plätzchen gegessen hatte, die"
"253","Blumen",64,"A","im Blumenkasten.",0,0.58,1,6.2,5.8,7,"die","Blumen","Einen Moment lang gießt der Gärtner, der den Dünger verteilt hat, die"
"254","Blumen",64,"B","im Blumenkasten.",0,0.5,1,2,1.4,7,"die","Blumen","Einen Moment lang gießt der Gärtner, der die Opernmusik angestellt hat, die"
"255","Blumen",64,"C","im Blumenkasten.",0,0,1,6.2,5.8,1.7,"die","Blumen","Einen Moment lang ölt der Gärtner, der den Dünger verteilt hat, die"
"256","Blumen",64,"D","im Blumenkasten.",0,0,1,2,1.4,1.7,"die","Blumen","Einen Moment lang ölt der Gärtner, der die Opernmusik angestellt hat, die"
"257","Hecke",65,"A","um das Grundstück.",2,0.5,1,6.6,1.9,6.5,"die","Hecke","Gestern Nachmittag stutzte der Landschaftsgärtner, der die Gartenschere geschärft hatte, die"
"258","Hecke",65,"B","um das Grundstück.",2,0.58,1,1.4,1.8,6.5,"die","Hecke","Gestern Nachmittag stutzte der Landschaftsgärtner, der die Sonnenbrille aufgesetzt hatte, die"
"259","Hecke",65,"C","um das Grundstück.",2,0,1,6.6,1.9,1.3,"die","Hecke","Gestern Nachmittag bezahlte der Landschaftsgärtner, der die Gartenschere geschärft hatte, die"
"260","Hecke",65,"D","um das Grundstück.",2,0,1,1.4,1.8,1.3,"die","Hecke","Gestern Nachmittag bezahlte der Landschaftsgärtner, der die Sonnenbrille aufgesetzt hatte, die"
"261","Feld",66,"A","mit einem Gaul.",2,0.92,0,6.8,2.1,6.2,"das","Feld","Früher beackerte der Landwirt, der den Traktor gestartet hatte, das"
"262","Feld",66,"B","mit einem Gaul.",2,0.67,0,3.9,1.1,6.2,"das","Feld","Früher beackerte der Landwirt, der den Sonnenhut aufgesetzt hatte, das"
"263","Feld",66,"C","mit einem Gaul.",2,0,0,6.8,2.1,2.5,"das","Feld","Früher kopierte der Landwirt, der den Traktor gestartet hatte, das"
"264","Feld",66,"D","mit einem Gaul.",2,0,0,3.9,1.1,2.5,"das","Feld","Früher kopierte der Landwirt, der den Sonnenhut aufgesetzt hatte, das"
"265","Schuh",67,"A","und polierte ihn.",1,0.5,0,6.4,4.1,4.9,"den","Schuh","Heute Morgen flickte der Schuster, der den Absatz ausgetauscht hatte, den"
"266","Schuh",67,"B","und polierte ihn.",1,0.75,0,1.2,1,4.9,"den","Schuh","Heute Morgen flickte der Schuster, der die Sirene gehört hatte, den"
"267","Schuh",67,"C","und polierte ihn.",1,0,0,6.4,4.1,1,"den","Schuh","Heute Morgen schmeckte der Schuster, der den Absatz ausgetauscht hatte, den"
"268","Schuh",67,"D","und polierte ihn.",1,0,0,1.2,1,1,"den","Schuh","Heute Morgen schmeckte der Schuster, der die Sirene gehört hatte, den"
"269","Koffer",68,"A","für die Kreuzfahrt.",1,0.83,0,6.6,3.5,6.9,"den","Koffer","Schnell packte der Urlauber, als er die Klamotten gefaltet hatte, den"
"270","Koffer",68,"B","für die Kreuzfahrt.",1,0.5,0,1.2,1.9,6.9,"den","Koffer","Schnell packte der Urlauber, als er die Gardinen aufgezogen hatte, den"
"271","Koffer",68,"C","für die Kreuzfahrt.",1,0,0,6.6,3.5,1.2,"den","Koffer","Schnell rührte der Urlauber, als er die Klamotten gefaltet hatte, den"
"272","Koffer",68,"D","für die Kreuzfahrt.",1,0,0,1.2,1.9,1.2,"den","Koffer","Schnell rührte der Urlauber, als er die Gardinen aufgezogen hatte, den"
"273","Honig",69,"A","aus den Waben.",0,1,1,6.9,1,5.5,"den","Honig","Sorgfältig erntet der Imker, nachdem er den Bienenstock erreicht hat, den"
"274","Honig",69,"B","aus den Waben.",0,0.92,1,2.8,1.1,5.5,"den","Honig","Sorgfältig erntet der Imker, nachdem er das Haus verlassen hat, den"
"275","Honig",69,"C","aus den Waben.",0,0,1,6.9,1,1.2,"den","Honig","Sorgfältig näht der Imker, nachdem er den Bienenstock erreicht hat, den"
"276","Honig",69,"D","aus den Waben.",0,0,1,2.8,1.1,1.2,"den","Honig","Sorgfältig näht der Imker, nachdem er das Haus verlassen hat, den"
"277","Gewehr",70,"A","und zielt erneut.",0,0.42,1,6.4,6.1,6,"das","Gewehr","Vorsichtig lädt der Jäger, der die Munition verschossen hat, das"
"278","Gewehr",70,"B","und zielt erneut.",0,0.5,1,1.4,1.3,6,"das","Gewehr","Vorsichtig lädt der Jäger, der den Campingplatz verlassen hat, das"
"279","Gewehr",70,"C","und zielt erneut.",0,0,1,6.4,6.1,1.3,"das","Gewehr","Vorsichtig schneidet der Jäger, der die Munition verschossen hat, das"
"280","Gewehr",70,"D","und zielt erneut.",0,0,1,1.4,1.3,1.3,"das","Gewehr","Vorsichtig schneidet der Jäger, der den Campingplatz verlassen hat, das"
"281","Mörtel",71,"A","für die Mauer.",0,0.42,0,6.1,4,6,"den","Mörtel","Vorsichtig mischte der Maurer, der die Backsteine aufeinanderlegte, den"
"282","Mörtel",71,"B","für die Mauer.",0,0.25,0,1.4,1,6,"den","Mörtel","Vorsichtig mischte der Maurer, der die Nachbarn belauschte, den"
"283","Mörtel",71,"C","für die Mauer.",0,0,0,6.1,4,1.3,"den","Mörtel","Vorsichtig schrieb der Maurer, der die Backsteine aufeinanderlegte, den"
"284","Mörtel",71,"D","für die Mauer.",0,0,0,1.4,1,1.3,"den","Mörtel","Vorsichtig schrieb der Maurer, der die Nachbarn belauschte, den"
"285","Mehl",72,"A","aus dem Korn.",2,0.67,0,6.9,1.4,5.9,"das","Mehl","Vorgestern mahlte der Müller, der die Mühle betrieb, das"
"286","Mehl",72,"B","aus dem Korn.",2,0.5,0,1,1.1,5.9,"das","Mehl","Vorgestern mahlte der Müller, der das Lied pfiff, das"
"287","Mehl",72,"C","aus dem Korn.",2,0,0,6.9,1.4,2.4,"das","Mehl","Vorgestern verzierte der Müller, der die Mühle betrieb, das"
"288","Mehl",72,"D","aus dem Korn.",2,0.17,0,1,1.1,2.4,"das","Mehl","Vorgestern verzierte der Müller, der das Lied pfiff, das"
"289","Kuh",73,"A","und brachte ihr frisches Heu.",0,1,0,7,4.5,6.8,"die","Kuh","Vorsichtig melkte der Viehzüchter, nachdem er den Stall ausgemistet hatte, die"
"290","Kuh",73,"B","und brachte ihr frisches Heu.",0,0.75,0,3.1,1,6.8,"die","Kuh","Vorsichtig melkte der Viehzüchter, nachdem er das Gemüse sortiert hatte, die"
"291","Kuh",73,"C","und brachte ihr frisches Heu.",0,0,0,7,4.5,1.4,"die","Kuh","Vorsichtig kleidete der Viehzüchter, nachdem er den Stall ausgemistet hatte, die"
"292","Kuh",73,"D","und brachte ihr frisches Heu.",0,0.08,0,3.1,1,1.4,"die","Kuh","Vorsichtig kleidete der Viehzüchter, nachdem er das Gemüse sortiert hatte, die"
"293","Bett",74,"A","und das Kissen.",0,0.92,0,6.9,4.7,6.9,"das","Bett","Zuerst bezog der Hotelangestellte, nachdem er den Bezug entfaltet hatte, das"
"294","Bett",74,"B","und das Kissen.",0,0.67,0,1.1,1.8,6.9,"das","Bett","Zuerst bezog der Hotelangestellte, nachdem er den Hamburger verspeist hatte, das"
"295","Bett",74,"C","und das Kissen.",0,0.08,0,6.9,4.7,1.2,"das","Bett","Zuerst fälschte der Hotelangestellte, nachdem er den Bezug entfaltet hatte, das"
"296","Bett",74,"D","und das Kissen.",0,0,0,1.1,1.8,1.2,"das","Bett","Zuerst fälschte der Hotelangestellte, nachdem er den Hamburger verspeist hatte, das"
"297","Ziel",75,"A","und durchtrennt die Ziellinie.",1,0.92,0,6,5.8,6.6,"das","Ziel","Augenblicklich erreicht der Sprinter, der das Rennen gewinnt, das"
"298","Ziel",75,"B","und durchtrennt die Ziellinie.",1,0.75,0,1.9,2.7,6.6,"das","Ziel","Augenblicklich erreicht der Sprinter, der den Wind genießt, das"
"299","Ziel",75,"C","und durchtrennt die Ziellinie.",1,0,0,6,5.8,1.9,"das","Ziel","Augenblicklich reinigt der Sprinter, der das Rennen gewinnt, das"
"300","Ziel",75,"D","und durchtrennt die Ziellinie.",1,0,0,1.9,2.7,1.9,"das","Ziel","Augenblicklich reinigt der Sprinter, der den Wind genießt, das"
"301","Welle",76,"A","bis zum Strand.",0,0.58,0,5.1,1.3,7,"die","Welle","Direkt surft der Surfer, der die Badehose angezogen hat, die"
"302","Welle",76,"B","bis zum Strand.",0,0.42,0,3.2,1.3,7,"die","Welle","Direkt surft der Surfer, der den Tagesausflug unternommen hat, die"
"303","Welle",76,"C","bis zum Strand.",0,0,0,5.1,1.3,1.5,"die","Welle","Direkt reserviert der Surfer, der die Badehose angezogen hat, die"
"304","Welle",76,"D","bis zum Strand.",0,0,0,3.2,1.3,1.5,"die","Welle","Direkt reserviert der Surfer, der den Tagesausflug unternommen hat, die"
"305","Fahrkarten",77,"A","der Pendler.",0,0.5,1,6.7,3.3,6.6,"die","Fahrkarten","Gut gelaunt kontrollierte der Schaffner, der das Zugabteil betreten hatte, die"
"306","Fahrkarten",77,"B","der Pendler.",0,0.42,1,2.8,2.4,6.6,"die","Fahrkarten","Gut gelaunt kontrollierte der Schaffner, der die Mittagspause beendet hatte, die"
"307","Fahrkarten",77,"C","der Pendler.",0,0,1,6.7,3.3,1.3,"die","Fahrkarten","Gut gelaunt zitierte der Schaffner, der das Zugabteil betreten hatte, die"
"308","Fahrkarten",77,"D","der Pendler.",0,0,1,2.8,2.4,1.3,"die","Fahrkarten","Gut gelaunt zitierte der Schaffner, der die Mittagspause beendet hatte, die"
"309","Leitung",78,"A","im Gebäude.",0,0.5,1,6.8,4.5,6.2,"die","Leitung","Am Mittag verlegte der Elektriker, nachdem er den Strom abgeschaltet hatte, die"
"310","Leitung",78,"B","im Gebäude.",0,0.41,1,2.2,3.4,6.2,"die","Leitung","Am Mittag verlegte der Elektriker, nachdem er den Anwohner informiert hatte, die"
"311","Leitung",78,"C","im Gebäude.",0,0,1,6.8,4.5,1.5,"die","Leitung","Am Mittag verfasste der Elektriker, nachdem er den Strom abgeschaltet hatte, die"
"312","Leitung",78,"D","im Gebäude.",0,0,1,2.2,3.4,1.5,"die","Leitung","Am Mittag verfasste der Elektriker, nachdem er den Anwohner informiert hatte, die"
"313","Segel",79,"A","des großen Bootes.",3,0.42,1,5.5,4.4,5.8,"die","Segel","Langsam hisst der Matrose, nachdem er die Taue gekappt hat, die"
"314","Segel",79,"B","des großen Bootes.",3,0.42,1,2.2,2.7,5.8,"die","Segel","Langsam hisst der Matrose, nachdem er die Handschuhe angezogen hat, die"
"315","Segel",79,"C","des großen Bootes.",3,0,1,5.5,4.4,1.9,"die","Segel","Langsam verzehrt der Matrose, nachdem er die Taue gekappt hat, die"
"316","Segel",79,"D","des großen Bootes.",3,0,1,2.2,2.7,1.9,"die","Segel","Langsam verzehrt der Matrose, nachdem er die Handschuhe angezogen hat, die"
"317","Gläser",80,"A","und spricht mit dem Kollegen.",0,0.67,1,5.2,1.4,5.8,"die","Gläser","Direkt entspiegelt der Optiker, nachdem er den Sehtest durchgeführt hat, die"
"318","Gläser",80,"B","und spricht mit dem Kollegen.",0,0.67,1,1.5,5,5.8,"die","Gläser","Direkt entspiegelt der Optiker, nachdem er die Jahresabrechnung aufgestellt hat, die"
"319","Gläser",80,"C","und spricht mit dem Kollegen.",0,0,1,5.2,1.4,4.3,"die","Gläser","Direkt verschließt der Optiker, nachdem er den Sehtest durchgeführt hat, die"
"320","Gläser",80,"D","und spricht mit dem Kollegen.",0,0,1,1.5,5,4.3,"die","Gläser","Direkt verschließt der Optiker, nachdem er die Jahresabrechnung aufgestellt hat, die"
"321","Korb",81,"A","und holt einen Punkt.",0,0.83,0,6,4.8,4.8,"den","Korb","Auf der Stelle wirft der Basketballer, der den Ball gedribbelt hat, den"
"322","Korb",81,"B","und holt einen Punkt.",0,0.5,0,2.9,1.8,4.8,"den","Korb","Auf der Stelle wirft der Basketballer, der die Sitzbank verlassen hat, den"
"323","Korb",81,"C","und holt einen Punkt.",0,0,0,6,4.8,1.8,"den","Korb","Auf der Stelle bucht der Basketballer, der den Ball gedribbelt hat, den"
"324","Korb",81,"D","und holt einen Punkt.",0,0,0,2.9,1.8,1.8,"den","Korb","Auf der Stelle bucht der Basketballer, der die Sitzbank verlassen hat, den"
"325","Muschel",82,"A","und holt die Perle.",0,0.92,0,6.2,1.5,4.2,"die","Muschel","Ohne zu zögern knackt der Perlentaucher, der den Meeresgrund erreicht hat, die"
"326","Muschel",82,"B","und holt die Perle.",0,0.75,0,1,1.2,4.2,"die","Muschel","Ohne zu zögern knackt der Perlentaucher, der die Taschenlampe angemacht hat, die"
"327","Muschel",82,"C","und holt die Perle.",0,0,0,6.2,1.5,1.4,"die","Muschel","Ohne zu zögern verknotet der Perlentaucher, die den Meeresgrund erreicht hat, die"
"328","Muschel",82,"D","und holt die Perle.",0,0,0,1,1.2,1.4,"die","Muschel","Ohne zu zögern verknotet der Perlentaucher, der die Taschenlampe angemacht hat, die"
"329","Bogen",83,"A","und feuert den Pfeil ab.",0,1,0,7,2.1,6.7,"den","Bogen","Umsichtig spannt der Schütze, der den Pfeil gespitzt hat, den"
"330","Bogen",83,"B","und feuert den Pfeil ab.",0,0.67,0,1.5,1.2,6.7,"den","Bogen","Umsichtig spannt der Schütze, der das Laub zusammengekehrt hat, den"
