item,sentence,condition,e1,e2,context,target
78,Larry's note had been scribbled with haste.,Passive Control,1,1,Larry's note had been,scribbled
78,Larry's wife had been scribbling a note to him about dinner plans.,Active Control,1,0,Larry's wife had been,scribbling
78,The broken television had been scribbling his thoughts on a napkin.,No-Attraction Violation,0,1,The broken television had been,scribbling
79,Carrie's morning meeting was canceling as expected.,Attraction Violation,1,1,Carrie's morning meeting was,canceling
79,Carrie's morning meeting was canceled by the boss.,Passive Control,1,1,Carrie's morning meeting was,canceled
79,Carrie had been canceling all of her meetings.,Active Control,1,0,Carrie had been,canceling
79,The bubblegum had been canceling as expected.,No-Attraction Violation,0,1,The bubblegum had been,canceling
80,The girl's disease was curing a simple treatment.,Attraction Violation,1,1,The girl's disease was,curing
80,The girl's disease was cured by a simple treatment.,Passive Control,1,1,The girl's disease was,cured
80,The foreign doctors were curing hundreds of villagers of malaria.,Active Control,1,0,The foreign doctors were,curing
80,Billy's unruly hair was curing his cold.,No-Attraction Violation,0,1,Billy's unruly hair was,curing
81,Janet's houseplants were watering too much.,Attraction Violation,1,1,Janet's houseplants were,watering
81,Janet's houseplants were watered by her neighbor.,Passive Control,1,1,Janet's houseplants were,watered
81,The gardener was watering the plants.,Active Control,1,0,The gardener was,watering
81,The roast lamb had been watering too much.,No-Attraction Violation,0,1,The roast lamb had been,watering
82,The useful new gadget had been inventing by a bored waiter.,Attraction Violation,1,1,The useful new gadget had been,inventing
82,The useful new gadget had been invented by a bored waiter.,Passive Control,1,1,The useful new gadget had been,invented
82,The resourceful engineers had been inventing tiny new devices.,Active Control,1,0,The resourceful engineers had been,inventing
82,The value of the jewels was inventing the digital computer.,No-Attraction Violation,0,1,The value of the jewels was,inventing
83,The phone bill had been paying his roommate.,Attraction Violation,1,1,The phone bill had been,paying
83,The phone bill had been paid quickly.,Passive Control,1,1,The phone bill had been,paid
83,Juan and Perry had been paying too much for their apartment.,Active Control,1,0,Juan and Perry had been,paying
83,"The dark, underwater cave was paying attention to the divers.",No-Attraction Violation,0,1,"The dark, underwater cave was",paying
84,The man's signature was forging the lawyers.,Attraction Violation,1,1,The man's signature was,forging
84,The man's signature was forged by the lawyers.,Passive Control,1,1,The man's signature was,forged
84,The con artists were forging the signatures on checks.,Active Control,1,0,The con artists were,forging
84,Poisonous fumes had been forging very well.,No-Attraction Violation,0,1,Poisonous fumes had been,forging
85,The bank had been robbing two masked men.,Attraction Violation,1,1,The bank had been,robbing
85,The bank had been robbed repeatedly.,Passive Control,1,1,The bank had been,robbed
85,The clever burglars had been robbing houses in broad daylight.,Active Control,1,0,The clever burglars had been,robbing
85,The musical piece was robbing repeatedly.,No-Attraction Violation,0,1,The musical piece was,robbing
86,An urgent message had been sending by the ambassador to the President.,Attraction Violation,1,1,An urgent message had been,sending
86,An urgent message had been sent again.,Passive Control,1,1,An urgent message had been,sent
86,The Prime Minister had been sending urgent messages to her Ambassador.,Active Control,1,0,The Prime Minister had been,sending
86,The height of the bookcase was sending mixed signals to the carpenter.,No-Attraction Violation,0,1,The height of the bookcase was,sending
87,The sleek new building was designing a team of German architects.,Attraction Violation,1,1,The sleek new building was,designing
87,The sleek new building was designed by a team of German architects.,Passive Control,1,1,The sleek new building was,designed
87,A team of architects had been designing the new building.,Active Control,1,0,A team of architects had been,designing
87,The leftover food was designing with flair.,No-Attraction Violation,0,1,The leftover food was,designing
88,The final exams had been grading in school.,Attraction Violation,1,1,The final exams had been,grading
88,The final exams had been graded in school.,Passive Control,1,1,The final exams had been,graded
88,The professor had been grading the final exams until 4 AM.,Active Control,1,0,The professor had been,grading
88,The appetizers had been grading Iverson's students.,No-Attraction Violation,0,1,The appetizers had been,grading
89,The final destination had been reaching too late.,Attraction Violation,1,1,The final destination had been,reaching
89,The final destination had been reached too late.,Passive Control,1,1,The final destination had been,reached
89,The curious child had been reaching for the cup on the table.,Active Control,1,0,The curious child had been,reaching
89,Several spelling errors were reaching too late.,No-Attraction Violation,0,1,Several spelling errors were,reaching
90,A faint light was perceiving by the rescue workers.,Attraction Violation,1,1,A faint light was,perceiving
90,A faint light was perceived underwater.,Passive Control,1,1,A faint light was,perceived
90,The worried pilot was perceiving a rattling sound in the jet's engine.,Active Control,1,0,The worried pilot was,perceiving
90,A tiny spy camera was perceiving underwater.,No-Attraction Violation,0,1,A tiny spy camera was,perceiving
91,The bubblegum had been chewing by the boy.,Attraction Violation,1,1,The bubblegum had been,chewing
91,The bubblegum had been chewed by the boy.,Passive Control,1,1,The bubblegum had been,chewed
91,The hungry dog had been chewing a bone.,Active Control,1,0,The hungry dog had been,chewing
91,Carrie's morning meeting was chewing for a long time.,No-Attraction Violation,0,1,Carrie's morning meeting was,chewing
92,Martin's tonsils had been removing at the hospital.,Attraction Violation,1,1,Martin's tonsils had been,removing
92,Martin's tonsils had been removed at the hospital.,Passive Control,1,1,Martin's tonsils had been,removed
92,The surgeon had been removing the cancerous growth.,Active Control,1,0,The surgeon had been,removing
92,The homicide case had been removing at the hospital.,No-Attraction Violation,0,1,The homicide case had been,removing
93,Mother Theresa's death was mourning millions of people.,Attraction Violation,1,1,Mother Theresa's death was,mourning
93,Mother Theresa's death was mourned by millions of people.,Passive Control,1,1,Mother Theresa's death was,mourned
93,The black-clad women were mourning the death of their brother.,Active Control,1,0,The black-clad women were,mourning
93,Lisa's phone had been mourning the loss of a loved one.,No-Attraction Violation,0,1,Lisa's phone had been,mourning
94,The bathroom floor had been mopping by a janitor.,Attraction Violation,1,1,The bathroom floor had been,mopping
94,The bathroom floor had been mopped in the past.,Passive Control,1,1,The bathroom floor had been,mopped
94,The school janitor had been mopping the bathroom.,Active Control,1,0,The school janitor had been,mopping
94,An important lesson had been mopping in the past.,No-Attraction Violation,0,1,An important lesson had been,mopping
95,The sin had been confessing by the repentant Catholic.,Attraction Violation,1,1,The sin had been,confessing
95,The sin had been confessed on Sunday.,Passive Control,1,1,The sin had been,confessed
95,The repentant Catholic had been confessing his sins.,Active Control,1,0,The repentant Catholic had been,confessing
95,Ten new trees had been confessing on Sunday.,No-Attraction Violation,0,1,Ten new trees had been,confessing
96,The strange mystery had been solving the detectives.,Attraction Violation,1,1,The strange mystery had been,solving
96,The strange mystery had been solved at the station.,Passive Control,1,1,The strange mystery had been,solved
96,The brilliant detective had been solving mysterious crimes for two decades.,Active Control,1,0,The brilliant detective had been,solving
96,Hathaway's gigantic fortune had been solving at the station.,No-Attraction Violation,0,1,Hathaway's gigantic fortune had been,solving
