,Unnamed: 0,constraint,context,expected,within,between,unexpected,translated_context,translated_expected,translated_within,translated_between,longer_context,translated_unexpected,translated_longer_context
22,22,H,"Hitting the huge animal with a tranquilizer dart was difficult in the Arctic winds. Eventually, however, they were able to approach and tag the",polar bear,panda,lion,sandals,Het was moeilijk om het enorme dier met een verdovingspijl te raken in de Arctische wind. Uiteindelijk konden ze het dier echter benaderen en de markering aanbrengen op de,ijsbeer,panda,leeuw,"The research team had been tracking the bear for hours across the sea ice, following fresh paw prints that wove between pressure ridges and scattered snowdrifts. Satellite data suggested this adult male had wandered far from its usual range, and the biologists needed to confirm its identity and health before the melt season intensified. They kept their distance, watching through binoculars as it paused to sniff the air and scrape at a seal hole. Time was running short; the light was fading, and the weather was turning unpredictable, making every movement slow and deliberate.",sandalen,"Het onderzoeksteam volgde de beer al uren over het zee-ijs, achter verse pootafdrukken aan die tussen drukruggen en verspreide sneeuwduinen door slingerden. Satellietgegevens wezen erop dat dit volwassen mannetje ver van zijn gebruikelijke leefgebied was afgedwaald, en de biologen moesten zijn identiteit en gezondheid bevestigen voordat het smeltseizoen heviger werd. Ze hielden afstand en keken door verrekijkers toe terwijl hij even stopte om aan de lucht te snuiven en aan een zeehondenwak te krabben. De tijd drong: het licht nam af en het weer werd onvoorspelbaar, waardoor elke beweging traag en weloverwogen moest zijn."
23,23,L,Wendy wondered how they had managed to ship such a large animal all the way from China. She waited in line to see the newly acquired,panda,polar bear,tiger,boots,Wendy vroeg zich af hoe ze erin geslaagd waren om zo’n groot dier helemaal vanuit China te verschepen. Ze stond in de rij om het pas verworven te zien,panda,ijsbeer,tijger,"The zoo had been buzzing for weeks with rumors about a special arrival, but no one outside the staff seemed to know exactly what it was. Posters went up around town announcing an exhibit opening at noon, and by dawn a crowd was already clustering near the main gates. Vendors set up carts along the sidewalk, selling paper fans and black-and-white balloons to children tugging at their parents’ sleeves. Wendy joined her friends on the bus, listening to excited chatter and trying to imagine what could be worth all this commotion. When they finally reached the entrance, a long line curled past the ticket booth and into the plaza.",laarzen,"De dierentuin gonste al weken van geruchten over een bijzondere aankomst, maar niemand buiten het personeel leek precies te weten wat het was. In de hele stad verschenen posters die een nieuwe tentoonstelling aankondigden, met opening om twaalf uur, en nog voor zonsopgang verzamelde zich al een menigte bij de hoofdingang. Verkopers zetten karren langs de stoep neer en verkochten papieren waaiers en zwart-witte ballonnen aan kinderen die aan de mouwen van hun ouders trokken. Wendy stapte met haar vrienden in de bus, luisterde naar opgewonden geklets en probeerde zich voor te stellen wat al die drukte waard kon zijn. Bij aankomst slingerde de rij langs het loket tot op het plein."
24,24,H,"Barb loved the feel of the waves on her feet, but she hated to walk barefoot. As a compromise, she usually wore a pair of",sandals,boots,shorts,rake,"Barb hield van het gevoel van de golven op haar voeten, maar ze haatte het om op blote voeten te lopen. Als compromis droeg ze meestal een paar",sandalen,laarzen,,"The boardwalk was already crowded when Barb arrived at the beach, the air thick with salt and sunscreen. She carried a towel under one arm and her shoes in the other, pausing where the planks gave way to soft sand. Children shrieked as they chased each other toward the water, and gulls wheeled overhead, crying for dropped snacks. Barb watched the tide roll in, smooth and insistent, tugging at the shoreline like it was calling her by name. She wanted to get close without feeling exposed or uncomfortable, weighing the small freedoms summer demanded against the habits she couldn’t shake.",hark,"De houten promenade was al druk toen Barb op het strand aankwam, de lucht zwaar van zout en zonnebrand. Ze droeg een handdoek onder haar ene arm en haar schoenen in de andere, en bleef even staan waar de planken overgingen in zacht zand. Kinderen gilden terwijl ze elkaar achterna zaten richting het water, en meeuwen cirkelden boven haar hoofd, krijsend om gevallen snacks. Barb keek hoe het tij binnenrolde, glad en onverbiddelijk, aan de kustlijn trekkend alsof het haar bij naam riep. Ze wilde dichtbij komen zonder zich bloot of ongemakkelijk te voelen, en woog de kleine vrijheden van de zomer af tegen gewoontes die ze niet kon afschudden."
25,25,L,"By the end of the day, the hiker's feet were extremely cold and wet. It was the last time he would ever buy a cheap pair of",boots,sandals,jeans,shovel,Aan het einde van de dag waren de voeten van de wandelaar extreem koud en nat. Het was de laatste keer dat hij ooit een goedkoop paar zou kopen van,laarzen,sandalen,spijkerbroek,"The trail had looked easy on the map, a simple loop through the foothills with a stream crossing or two and plenty of time to return before dusk. He’d grabbed the bargain boots on sale that morning, telling himself they would be fine for a single hike. At first, the path was dry and the air crisp, but the weather shifted quickly. A steady rain soaked the ground, turning dirt into slick mud that clung to his soles. When he stepped into the first shallow creek, water seeped in around the stitching and never left.",schep,"Het pad had er op de kaart eenvoudig uitgezien: een simpele lus door de uitlopers van de heuvels, met één of twee beekoversteken en genoeg tijd om voor zonsondergang terug te zijn. Die ochtend had hij de afgeprijsde laarzen in de aanbieding gekocht en zichzelf wijsgemaakt dat ze prima zouden zijn voor één wandeling. Eerst was het pad droog en de lucht fris, maar het weer sloeg snel om. Een aanhoudende regen doorweekte de grond en veranderde het zand in glibberige modder die aan zijn zolen kleefde. Toen hij in het eerste ondiepe beekje stapte, sijpelde water langs de naden naar binnen en ging nooit meer weg."
26,26,H,Everyone agreed that the stone-washed kind were out of style. But he continued to wear the same old pair of,jeans,shorts,sandals,saw,Iedereen was het erover eens dat de stonewashed exemplaren uit de mode waren. Maar hij bleef hetzelfde oude paar dragen van,spijkerbroek,,sandalen,"At the back of the thrift shop, under the flicker of a tired fluorescent light, he stood turning denim over in his hands as if it held some private memory. He had come with friends after class, more out of obligation than interest, and listened while they debated cuts, brands, and what would photograph well. The clerk, chewing gum, offered a knowing look as the others paraded new finds toward the mirror. He barely glanced up. Fashion always seemed to him like a language spoken too quickly, full of rules that changed overnight. For him, comfort wasn’t laziness; it was loyalty.",zaag,"Achter in de kringloopwinkel, onder het flikkeren van een vermoeide tl-lamp, stond hij spijkerstof in zijn handen om te draaien alsof die een persoonlijke herinnering bevatte. Hij was na de les met vrienden meegekomen, meer uit verplichting dan uit interesse, en luisterde terwijl zij discussieerden over snitten, merken en wat goed op de foto zou staan. De medewerker, kauwgom kauwend, wierp een veelbetekenende blik toen de anderen met nieuwe vondsten naar de spiegel paradeerden. Hij keek nauwelijks op. Mode leek hem altijd een taal die te snel werd gesproken, vol regels die van de ene op de andere dag veranderen. Voor hem was comfort geen luiheid; het was trouw."
27,27,L,"As the afternoon progressed, it became hotter and hotter. Keith finally decided to put on a pair of",shorts,jeans,boots,hammer,"Naarmate de namiddag vorderde, werd het steeds heter en heter. Keith besloot uiteindelijk om een paar aan te trekken van",shorts,spijkerbroek,laarzen,"The day had started pleasantly enough, with a thin veil of clouds keeping the sun from feeling too harsh. Keith spent the morning running errands across town, unloading groceries, and sorting through boxes in the garage. By noon the sky had cleared, and the still air trapped the warmth against the pavement and the siding of the house. He tried to ignore it at first, sipping water and pushing through the last few tasks, but sweat kept gathering at his collar and sticking his shirt to his back. Even indoors, the rooms felt close and stifling.",hamer,"De dag was aangenaam begonnen, met een dunne sluier wolken die de zon minder fel maakte. Keith bracht de ochtend door met boodschappen en klusjes aan de andere kant van de stad, het uitladen van de boodschappen en het uitzoeken van dozen in de garage. Tegen de middag was de lucht opgeklaard en de windstille lucht hield de warmte vast tegen het asfalt en de gevel van het huis. Eerst probeerde hij het te negeren, dronk water en werkte de laatste taken af, maar het zweet verzamelde zich bij zijn kraag en plakte zijn hemd aan zijn rug. Zelfs binnen voelden de kamers benauwd."
28,28,L,Pablo wanted to cut the lumber he had bought to make some shelves. He asked his neighbor if he could borrow her,saw,hammer,rake,zipper,Pablo wilde het hout dat hij had gekocht op maat zagen om een paar planken te maken. Hij vroeg zijn buurvrouw of hij haar kon lenen,zaag,hamer,hark,"The stack of pine boards leaned against the garage wall, still wrapped in twine from the hardware store. Pablo measured the space in his pantry again, picturing neat rows of jars and cookbooks finally off the counter. He had sketched a simple plan on graph paper and marked each board with pencil lines where the cuts needed to go. When he opened his tool chest, he realized his own handsaw was missing and the circular saw he once owned had burned out months ago. He checked the closet and the shed, but found only sandpaper and a box of screws.",rits,"De stapel grenen planken leunde tegen de garagemuur, nog steeds omwikkeld met touw van de bouwmarkt. Pablo mat de ruimte in zijn voorraadkast opnieuw op en stelde zich nette rijen potten en kookboeken voor, eindelijk weg van het aanrecht. Hij had een eenvoudig plan geschetst op ruitjespapier en elke plank met potloodlijnen gemarkeerd waar de zaagsneden moesten komen. Toen hij zijn gereedschapskist opende, merkte hij dat zijn eigen handzaag weg was en dat de cirkelzaag die hij ooit had, maanden geleden was doorgebrand. Hij keek in de kast en in de schuur, maar vond alleen schuurpapier en een doos schroeven."
29,29,H,"Tina lined up where she thought the nail should go. When she was satisfied, she asked Bruce to hand her the",hammer,saw,shovel,button,"Tina zette zich in positie op de plek waar ze dacht dat de spijker moest komen. Toen ze tevreden was, vroeg ze Bruce om haar de te geven",hamer,zaag,schep,"Tina had been staring at the bare wall in the living room all afternoon, imagining how the space would look with the new framed photograph in place. She measured the distance from the doorway twice, then checked the height against the sofa back so it wouldn’t feel too low or too high. Bruce hovered nearby with the toolbox open, offering suggestions that Tina waved away with a grin. She wanted this one to be centered exactly, not “close enough.” After marking the spot lightly with a pencil, she stepped back and squinted, comparing it to the window trim and the bookshelf.",knop,"Tina had de hele middag naar de kale muur in de woonkamer zitten staren en stelde zich voor hoe de ruimte eruit zou zien met de nieuwe ingelijste foto op zijn plek. Ze mat twee keer de afstand vanaf de deuropening en controleerde daarna de hoogte ten opzichte van de rugleuning van de bank, zodat hij niet te laag of te hoog zou hangen. Bruce bleef in de buurt hangen met de gereedschapskist open en deed suggesties, die Tina met een grijns wegwuifde. Ze wilde dat dit precies in het midden kwam, niet “ongeveer goed”. Nadat ze de plek licht met potlood had gemarkeerd, deed ze een stap terug en kneep haar ogen samen, terwijl ze het vergeleek met de raamkozijnen en de boekenkast."
30,30,H,"The snow had piled up on the drive so high that they couldn't get the car out. When Albert woke up, his father handed him a",shovel,rake,saw,box,"De sneeuw had zich zo hoog opgehoopt op de oprit dat ze de auto er niet uit konden krijgen. Toen Albert wakker werd, gaf zijn vader hem een",schep,hark,zaag,"Overnight, the storm had grown from a gentle flurry into a steady white roar, smothering the neighborhood in silence. By morning, the windows were laced with frost, and the streetlights glowed faintly through curtains of drifting snow. Inside, the heater clicked and hummed, fighting the cold that seeped through every crack in the old house. Albert lay awake for a while, listening to the wind scrape along the siding and the occasional thud of snow sliding from the roof. He thought about school, about the errands his father had promised to run, and wondered if the day would be canceled.",doos,"’s Nachts was de storm uitgegroeid van een zacht dwarrelend sneeuwbuitje tot een aanhoudend wit gebrul, dat de buurt in stilte smoorde. Tegen de ochtend zaten de ramen vol rijp, en de straatlantaarns gloeiden vaag door gordijnen van stuifsneeuw. Binnen tikte en zoemde de verwarming, vechtend tegen de kou die door elke kier van het oude huis naar binnen kroop. Albert lag nog een tijd wakker en luisterde hoe de wind langs de gevel schraapte en af en toe met een doffe dreun sneeuw van het dak schoof. Hij dacht aan school, aan de boodschappen die zijn vader had beloofd te doen, en vroeg zich af of de dag zou worden afgelast."
31,31,H,The yard was completely covered with a thick layer of dead leaves. Erica decided it was time to get out the,rake,shovel,hammer,jar,De tuin was volledig bedekt met een dikke laag dode bladeren. Erica besloot dat het tijd was om de tevoorschijn te halen,hark,schep,hamer,"Autumn had arrived in full force, and with it came weeks of blustery winds and steady rain. The maples and oaks that lined Erica’s street had shed their branches’ bright colors all at once, as if the season had emptied its pockets overnight. Between late meetings and short daylight, she kept postponing outdoor chores, telling herself she would handle it on the weekend. But each morning the porch steps looked less defined, and the walkway to the mailbox grew slick and hidden beneath curled edges of brown and gold. Even the neighbor’s dog tracked leaves onto her doormat whenever it visited.",pot,"De herfst was in alle hevigheid losgebarsten, met weken van rukwinden en gestage regen. De esdoorns en eiken langs Erica’s straat hadden hun felle kleuren in één keer laten vallen, alsof het seizoen ’s nachts zijn zakken had leeggeschud. Tussen late vergaderingen en korte dagen bleef ze de klusjes buiten uitstellen en hield ze zichzelf voor dat ze het in het weekend zou doen. Maar elke ochtend waren de traptreden van de veranda minder duidelijk, en het pad naar de brievenbus werd glad en raakte verborgen onder gekrulde randen van bruin en goud. Zelfs de hond van de buren bracht bladeren mee tot op haar deurmat wanneer hij langskwam."
32,32,L,"Fred went to the pantry and got out the homemade jelly his grandmother had brought. Fifteen minutes later, however, he was still struggling to open the",jar,box,zipper,zebra,Fred ging naar de voorraadkast en haalde de zelfgemaakte jam tevoorschijn die zijn grootmoeder had meegebracht. Vijftien minuten later was hij echter nog steeds aan het worstelen om de te openen,pot,doos,rits,"The morning had started quietly, and Fred was determined to make it count. He’d promised himself a simple breakfast before tackling the long list of chores waiting in the garage. Toast seemed easy enough, and he could already imagine the sweet taste he’d been craving since last weekend. His grandmother had arrived with a small basket of gifts, insisting he take something “from home” to brighten his day. He’d set the jars aside without thinking much of it, but now the thought of that deep red preserve felt irresistible. Humming to himself, he cleared a space on the counter and reached for a knife and plate.",zebra,"De ochtend was rustig begonnen en Fred was vastbesloten er iets van te maken. Hij had zichzelf een eenvoudig ontbijt beloofd voordat hij aan de lange lijst klusjes begon die in de garage op hem wachtte. Toast leek makkelijk genoeg, en hij kon de zoete smaak al proeven waar hij sinds vorig weekend naar verlangde. Zijn grootmoeder was langsgekomen met een klein mandje cadeautjes en stond erop dat hij iets “van thuis” meenam om zijn dag op te vrolijken. Zonder erbij stil te staan had hij de potten weggezet, maar nu was de gedachte aan die dieprode jam onweerstaanbaar. Neuriënd maakte hij ruimte op het aanrecht en pakte een mes en een bord."
33,33,L,"After they unpacked the new refrigerator, they let Billy have his fun. He played for days afterwards with the big",box,jar,button,donkey,"Nadat ze de nieuwe koelkast hadden uitgepakt, lieten ze Billy zijn gang gaan. Daarna speelde hij dagenlang met de grote",doos,pot,knop,"The delivery truck rumbled up just after breakfast, and everyone crowded into the kitchen to watch the movers wrestle the enormous carton through the doorway. The old fridge had been wheezing for months, so the replacement felt like a small holiday—shiny, quiet, and promising colder milk and crisper vegetables. While the adults argued over where to put the shelves and taped the warranty papers to the side, Billy hovered nearby, eyes fixed on the towering cardboard. He trailed the foam blocks across the floor like treasure and kept circling the box, already imagining what it could become.",ezel,"De bestelwagen kwam net na het ontbijt aan, en iedereen drong de keuken in om te kijken hoe de verhuizers de enorme doos door de deuropening worstelden. De oude koelkast had al maanden staan hijgen, dus de vervanger voelde als een kleine feestdag: glanzend, stil, en met de belofte van koudere melk en krokantere groenten. Terwijl de volwassenen kibbelden over waar de plankjes moesten komen en de garantiepapieren met tape aan de zijkant plakten, bleef Billy in de buurt hangen, zijn blik op het torenhoge karton. Hij sleepte de schuimblokken over de vloer als een schat en bleef om de doos heen cirkelen, al dromend over wat hij ervan kon maken."
34,34,H,It seemed to catch every time she opened or closed her backpack. She decided she would have to replace the,zipper,button,box,dalmatian,Het leek elke keer te blijven haken wanneer ze haar rugzak opende of sloot. Ze besloot dat ze de moest vervangen,rits,knop,doos,"On the third day of the trip, she finally admitted something was wrong. At first, she blamed the cramped hostel room and the way her clothes bulged against the seams, but the problem followed her everywhere. In the museum lobby she struggled to pull out her ticket, and at the café she fumbled for her wallet while people waited behind her. The fabric around the opening looked slightly puckered, and one side of the teeth didn’t line up the way it used to. She ran her finger along the metal and felt a rough spot, like a burr.",dalmatiër,"Op de derde dag van de reis gaf ze eindelijk toe dat er iets mis was. Eerst gaf ze de krappe hostelkamer de schuld en de manier waarop haar kleren tegen de naden uitpuilden, maar het probleem volgde haar overal. In de museumhal worstelde ze om haar kaartje tevoorschijn te halen, en in het café graaide ze onhandig naar haar portemonnee terwijl mensen achter haar wachtten. De stof rond de opening leek licht gekreukt, en aan één kant sloten de tandjes niet meer zoals vroeger. Ze liet haar vinger langs het metaal glijden en voelde een ruwe plek, als een braam."
35,35,H,"One fell off her blouse and got lost, and she didn't have any extras. She ended up searching all over town to find a matching",button,zipper,jar,poodle,"Er viel er eentje van haar blouse af en die raakte kwijt, en ze had geen reserve-exemplaren. Uiteindelijk moest ze de hele stad afzoeken om een bijpassende te vinden",knop,rits,pot,"Marisol stared at her reflection in the café window, tugging nervously at the front of her favorite blouse. She had worn it for the job interview because the soft blue fabric made her look composed, but the long walk across town and the crush of the morning bus had left her feeling rumpled. As she smoothed the placket, she noticed the fabric gaping slightly near her collarbone. A thin thread dangled where something should have been, and her stomach tightened at the thought of meeting the hiring manager looking careless. She checked her purse for a small sewing kit, then her desk drawer at home, already calculating how much time she had.",poedel,"Marisol staarde naar haar spiegelbeeld in het raam van het café en trok nerveus aan de voorkant van haar favoriete blouse. Ze had die voor het sollicitatiegesprek aangetrokken omdat de zachtblauwe stof haar een beheerste uitstraling gaf, maar de lange wandeling door de stad en de drukte in de ochtendbus hadden haar verkreukeld doen voelen. Terwijl ze de knoopslijst gladstreek, merkte ze dat de stof bij haar sleutelbeen een beetje openstond. Er bungelde een dun draadje waar iets had moeten zitten, en haar maag trok samen bij de gedachte de hiring manager slordig tegemoet te treden. Ze doorzocht haar tas naar een naaisetje en dacht aan de lade thuis, al berekenend hoeveel tijd ze nog had."
36,36,L,"The firefighters wanted to have a mascot to live with them at the firehouse. Naturally, they decided it would have to be a",dalmatian,poodle,zebra,football,De brandweerlieden wilden een mascotte die bij hen in de kazerne kon wonen. Uiteraard besloten ze dat het een moest zijn dat een,dalmatiër,poedel,zebra,"At the downtown station, the crew worked long shifts that blurred into one another. Between calls, they cleaned gear, checked hoses, and tried to keep their spirits up in the quiet hours. Even with the constant banter, the building could feel empty once the engines rolled back into the bay. The captain noticed how everyone lingered after dinner, swapping stories and scrolling through photos of pets they missed at home. A few of the rookies admitted the nights were the hardest, when the alarms were silent and sleep came in fragments. They began talking about finding a companion to brighten the place.",voetbal,"Op het station in het centrum draaide de ploeg lange diensten die in elkaar overvloeiden. Tussen de meldingen door maakten ze materiaal schoon, controleerden ze slangen en probeerden ze in de stille uren de moed erin te houden. Ondanks het voortdurende geklets kon het gebouw leeg aanvoelen zodra de wagens weer de remise inreden. De kapitein merkte dat iedereen na het eten bleef hangen, verhalen uitwisselde en door foto’s scrolde van huisdieren die ze thuis misten. Enkele nieuwelingen gaven toe dat de nachten het zwaarst waren, wanneer de piepers zwegen en slaap in stukjes kwam. Ze begonnen te praten over een maatje dat de boel zou opvrolijken."
37,37,L,"Muffie, old Mrs. Smith's pet, wears a bow on the puff of fur on its head. I don't know how anyone could want to own a",poodle,dalmatian,donkey,baseball,"Muffie, het huisdier van de oude mevrouw Smith, draagt een strik op de pluk vacht op haar hoofd. Ik weet niet hoe iemand een zou willen bezitten",poedel,dalmatiër,ezel,"Every afternoon on Maple Street, the neighbors drift onto their porches to trade small talk and watch Mrs. Smith shuffle to the corner with her little dog. She moves slowly now, leaning on her cane, but she always brightens when the leash gives a gentle tug. The dog prances like it’s performing for an audience, nails clicking on the pavement, tail held high. Children stop to point and giggle, and Mrs. Smith beams as if she’s raised a champion. The thing is kept immaculately groomed, scented, and fussed over, with its curls shaped into tidy tufts.",honkbal,"Elke namiddag in Maple Street drijven de buren hun veranda op om wat koetjes en kalfjes uit te wisselen en te kijken hoe mevrouw Smith met haar kleine hondje naar de hoek schuifelt. Ze beweegt nu langzaam, steunend op haar wandelstok, maar ze fleurt altijd op zodra de riem zachtjes trekt. Het hondje danst alsof het voor publiek optreedt, nagels tikkend op het trottoir, staart fier omhoog. Kinderen blijven staan om te wijzen en te giechelen, en mevrouw Smith straalt alsof ze een kampioen heeft grootgebracht. Het beestje is onberispelijk verzorgd, ruikt lekker en wordt vertroeteld, met krullen in keurige plukjes gevormd."
38,38,L,"""I'm an animal like Eeyore!"" the child exclaimed. His mother wondered why he was pretending to be a",donkey,zebra,dalmatian,monopoly,"""Ik ben een dier zoals Iejoor!"" riep het kind uit. Zijn moeder vroeg zich af waarom hij deed alsof hij een",ezel,zebra,dalmatiër,"The living room was scattered with stuffed toys and half-finished drawings, but the child ignored them, pacing in slow circles near the couch. He let his head droop, shoulders slumped, and dragged his feet as if each step were a chore. Every so often he stopped to sigh dramatically, then shuffled again, murmuring in a low, gloomy voice. His mother looked up from folding laundry, amused at first and then curious, trying to place the character he was imitating. When she asked what game he was playing, he blinked solemnly and pointed to his long scarf, holding it like a tail.",monopolie,"De woonkamer lag bezaaid met knuffels en half afgemaakte tekeningen, maar het kind negeerde ze en ijsbeerde in trage cirkels bij de bank. Hij liet zijn hoofd hangen, zijn schouders zakten, en hij sleepte met zijn voeten alsof elke stap een karwei was. Af en toe bleef hij staan om dramatisch te zuchten, waarna hij weer voortschuifelde en in een lage, sombere stem mompelde. Zijn moeder keek op van het opvouwen van de was, eerst geamuseerd en daarna nieuwsgierig, terwijl ze probeerde te bedenken welk personage hij nadeed. Toen ze vroeg welk spelletje hij speelde, knipperde hij plechtig en wees naar zijn lange sjaal, die hij als een staart vasthield."
39,39,H,"At the zoo, my sister asked if they painted the black and white stripes on the animal. I explained to her that they were natural features of a",zebra,donkey,poodle,chess,In de dierentuin vroeg mijn zus of ze de zwart-witte strepen op het dier hadden geschilderd. Ik legde haar uit dat die van nature kenmerkend waren voor een,zebra,ezel,poedel,"We spent the afternoon wandering through the zoo, stopping at every enclosure that caught our attention. My sister stayed close to my side, tugging at my sleeve whenever she noticed something new. She was especially fascinated by patterns and colors, pointing out the spots on the giraffes and the rings on the lemurs’ tails as if she were collecting clues. When we reached the African savanna exhibit, she pressed her face to the glass, studying one animal with intense concentration. After a long moment, she tilted her head, clearly puzzled by what she saw.",schaken,"We brachten de middag door met rondslenteren in de dierentuin en stopten bij elk verblijf dat onze aandacht trok. Mijn zus bleef dicht bij me, trok aan mijn mouw zodra ze iets nieuws zag. Ze was vooral gefascineerd door patronen en kleuren; ze wees op de vlekken van de giraffen en de ringen op de staarten van de lemuren, alsof ze aanwijzingen verzamelde. Toen we bij het Afrikaanse savanneverblijf kwamen, drukte ze haar gezicht tegen het glas en bestudeerde ze één dier met intense concentratie. Na een lange tijd kantelde ze haar hoofd, duidelijk verbaasd over wat ze zag."
