"","ItemNum","Condition","context","target","continuation","lp_benjamin_gerpt2","s_lp"
"194",65,"script-related","Susanne verließ das Bad. Sofort entfernte sie ihr","Makeup","und putzte sich die Zähne.",-11.3777252286673,-0.849232301202014
"195",65,"script-unrelated","Susanne ging zur Sicherheitskontrolle. Sofort entfernte sie ihr","Makeup","und putzte sich die Zähne.",-12.0000491887331,-1.00257924894479
"196",66,"control","Martin kam zur Autowerkstatt. Umgehend fragte er nach den","Reifen","für den Winter.",-5.44356060028076,0.613006165512233
"197",66,"script-related","Martin verließ die Autowerkstatt. Umgehend fragte er nach den","Reifen","für den Winter.",-5.6062183380127,0.572925646026373
"198",66,"script-unrelated","Martin kam zur Hotelrezeption. Umgehend fragte er nach den","Reifen","für den Winter.",-8.46211814880371,-0.130797088668978
"199",67,"control","Jutta ging zur Post. Umgehend bekam sie das","Paket","auf das sie gewartet hatte.",-5.02910709381104,0.715131721133938
"200",67,"script-related","Jutta verließ die Post. Umgehend bekam sie das","Paket","auf das sie gewartet hatte.",-4.63467979431152,0.812322615854232
"201",67,"script-unrelated","Jutta ging zum Zahnarzt. Umgehend bekam sie das","Paket","auf das sie gewartet hatte.",-7.17276620864868,0.186912331627297
"202",68,"control","Jens ging zur Zollstelle. Schnell zeigte er sein","Formular","und schaute den Beamten an.",-9.9260425567627,-0.491522939016938
"203",68,"script-related","Jens verließ die Zollstelle. Schnell zeigte er sein","Formular","und schaute den Beamten an.",-10.5710649490356,-0.650463011114331
"204",68,"script-unrelated","Jens begann Poker zu spielen. Schnell zeigte er sein","Formular","und schaute den Beamten an.",-13.0442428588867,-1.25987918024334
"205",69,"control","Elena begann zu zeichnen. Umgehend nahm sie den","Stift","und zeichnete eine Blume.",-5.06895589828491,0.705312570772732
"206",69,"script-related","Elena hörte auf zu zeichnen. Umgehend nahm sie den","Stift","und zeichnete eine Blume.",-4.94050788879395,0.736963465584802
"207",69,"script-unrelated","Elena begann den Urlaub. Umgehend nahm sie den","Stift","und zeichnete eine Blume.",-6.16216325759888,0.435935168393751
"208",70,"control","Bruno begann seinen Filmabend. Schnell besorgte er das","Popcorn","aus der Küche.",-4.99602746963501,0.723282876682143
"209",70,"script-related","Bruno beendete seinen Filmabend. Schnell besorgte er das","Popcorn","aus der Küche.",-4.74939250946045,0.784056237144479
"210",70,"script-unrelated","Bruno betrat das Bürgeramt. Schnell besorgte er das","Popcorn","aus der Küche.",-8.5667667388916,-0.156583564693242
"211",71,"control","Jana betrat das Gartencenter. Nach einer Weile fragte sie nach einer","Palme","für den Balkon.",-8.67969226837158,-0.184409562692997
"212",71,"script-related","Jana verließ das Gartencenter. Nach einer Weile fragte sie nach einer","Palme","für den Balkon.",-8.92488670349121,-0.244827963143353
"213",71,"script-unrelated","Jana ging auf die Kirmes. Nach einer Weile fragte sie nach einer","Palme","für den Balkon.",-9.49366760253906,-0.384981356553036
"214",72,"control","Nico fuhr zur Pizzeria. Sofort griff er die","Speisekarte","und bestellte eine Margherita.",-7.49114608764648,0.108460294103525
"215",72,"script-related","Nico verließ die Pizzeria. Sofort griff er die","Speisekarte","und bestellte eine Margherita.",-6.69172239303589,0.305446416104706
"216",72,"script-unrelated","Nico fuhr wandern. Sofort griff er die","Speisekarte","und bestellte eine Margherita.",-10.1738700866699,-0.552590160780156
"217",73,"control","Beate ging Schwimmen. Schnell prüfte sie das","Becken","und schwamm los.",-5.25128889083862,0.66038386856117
"218",73,"script-related","Beate kam zurück vom Schwimmen. Schnell prüfte sie das","Becken","und schwamm los.",-4.69025611877441,0.798628044746533
"219",73,"script-unrelated","Beate fuhr mit dem Taxi. Schnell prüfte sie das","Becken","und schwamm los.",-8.53737449645996,-0.149341017477591
"220",74,"control","Hubert nahm ein Flugzeug. Voller Begeisterung genoss er die","Höhe","denn er liebte das Fliegen.",-6.3125147819519,0.398887024938739
"221",74,"script-related","Hubert verließ das Flugzeug. Voller Begeisterung genoss er die","Höhe","denn er liebte das Fliegen.",-6.75584983825684,0.289644761946743
"222",74,"script-unrelated","Hubert begann zu baden. Voller Begeisterung genoss er die","Höhe","denn er liebte das Fliegen.",-6.84564924240112,0.267517276234656
"223",75,"control","Jenni begann den Unterricht. Sofort öffnete sie die","Tafel","und begann zu schreiben.",-10.3819932937622,-0.603873833931135
"224",75,"script-related","Jenni hörte auf mit dem Unterricht. Sofort öffnete sie die","Tafel","und begann zu schreiben.",-11.1469964981079,-0.792378397354091
"225",75,"script-unrelated","Jenni betrat die Eishalle. Sofort öffnete sie die","Tafel","und begann zu schreiben.",-11.6236886978149,-0.909840199451715
"226",76,"control","Hans betrat die Kletterhalle. Wenig später griff er das","Seil","und spannte es ein.",-4.35924959182739,0.880191416635497
"227",76,"script-related","Hans verließ die Kletterhalle. Wenig später griff er das","Seil","und spannte es ein.",-4.16000747680664,0.929286698451442
"228",76,"script-unrelated","Hans begann zu bowlen. Wenig später griff er das","Seil","und spannte es ein.",-6.41218185424805,0.374328045519957
"229",77,"control","Clara ging zum Schießstand. Sofort bekam sie einen","Revolver","und begann auf das Ziel zu schießen.",-7.94237119890749,-0.00272615860745467
"230",77,"script-related","Clara verließ den Schießstand. Sofort bekam sie einen","Revolver","und begann auf das Ziel zu schießen.",-8.15737090073526,-0.0557042699393829
"231",77,"script-unrelated","Clara ging auf einen Feuerwehreinsatz. Sofort bekam sie einen","Revolver","und begann auf das Ziel zu schießen.",-8.83264231681824,-0.222098008890574
"232",78,"control","Georg nahm teil an Yoga. Nach einer Weile setzte er sich auf seine","Yogamatte","und machte eine Übung.",-7.30065874755383,0.1553983104122
"233",78,"script-related","Georg kam zurück vom Yoga. Nach einer Weile setzte er sich auf seine","Yogamatte","und machte eine Übung.",-6.55645775049925,0.33877699856905
"234",78,"script-unrelated","Georg nahm teil am Fußballspiel. Nach einer Weile setzte er sich auf seine","Yogamatte","und machte eine Übung.",-9.85463537275791,-0.473927483246792
"235",79,"control","Johanna begann die Jagd. Nach einer Weile erblickte sie den","Hochsitz","und ging darauf zu.",-12.0724601745605,-1.02042205168455
"236",79,"script-related","Johanna kam zurück von der Jagd. Nach einer Weile erblickte sie den","Hochsitz","und ging darauf zu.",-11.5776213407516,-0.89848873454028
"237",79,"script-unrelated","Johanna betrat die Metzgerei. Nach einer Weile erblickte sie den","Hochsitz","und ging darauf zu.",-11.7048777341843,-0.929846003046511
"238",80,"control","Jürgen betrat die Bäckerei. Wenig später zeigte er auf das","Croissant","und wählte aus.",-10.8970430344343,-0.730787323907353
"239",80,"script-related","Jürgen verließ die Bäckerei. Wenig später zeigte er auf das","Croissant","und wählte aus.",-11.5339564681053,-0.887729266202947
"240",80,"script-unrelated","Jürgen betrat den Zoo. Wenig später zeigte er auf das","Croissant","und wählte aus.",-13.0159241855145,-1.2529011713534
"241",81,"control","Frauke ging ins Stadion. Schnell wählte sie eine","Tribüne","und setzte sich.",-9.09516675025225,-0.286786697030988
"242",81,"script-related","Frauke verließ das Stadion. Schnell wählte sie eine","Tribüne","und setzte sich.",-9.10335989296436,-0.288805570653002
"243",81,"script-unrelated","Frauke ging zum Waschsalon. Schnell wählte sie eine","Tribüne","und setzte sich.",-13.2572664916515,-1.31237036807758
"244",82,"control","Bernd betrat den Kiosk. Sofort kaufte er eine","Zeitung","und ging wieder heim.",-4.81182718276978,0.768671699187288
"245",82,"script-related","Bernd verließ den Kiosk. Sofort kaufte er eine","Zeitung","und ging wieder heim.",-4.87993240356445,0.751889880706272
"246",82,"script-unrelated","Bernd betrat den Zirkus. Sofort kaufte er eine","Zeitung","und ging wieder heim.",-6.10434246063232,0.450182800334417
"247",83,"control","Nicole betrat das Büro. Zuerst ging sie zum","Schreibtisch","und schaltete dann den Computer ein.",-4.59728240966797,0.821537711458208
"248",83,"script-related","Nicole verließ das Büro. Zuerst ging sie zum","Schreibtisch","und schaltete dann den Computer ein.",-6.16905212402344,0.434237681702893
"249",83,"script-unrelated","Nicole betrat die Sauna. Zuerst ging sie zum","Schreibtisch","und schaltete dann den Computer ein.",-7.24242115020752,0.169748646201913
"250",84,"control","Viktor ging ins Labor. Schnell begann er das","Experiment","und machte sich Notizen.",-4.73279523849487,0.788145973369904
"251",84,"script-related","Viktor verließ das Labor. Schnell begann er das","Experiment","und machte sich Notizen.",-4.56206846237183,0.83021478591195
"252",84,"script-unrelated","Viktor ging zum Tierarzt. Schnell begann er das","Experiment","und machte sich Notizen.",-7.53551959991455,0.0975262097622849
"253",85,"control","Gabi ging in die Umkleide. Schnell probierte sie die","Kleidung","an und ging zur Kasse.",-5.45673799514771,0.609759121509889
"254",85,"script-related","Gabi verließ die Umkleide. Schnell probierte sie die","Kleidung","an und ging zur Kasse.",-5.63465690612793,0.56591809385341
"255",85,"script-unrelated","Gabi betrat den Tatort. Schnell probierte sie die","Kleidung","an und ging zur Kasse.",-6.31103038787842,0.399252794722684
"256",86,"control","Jakob betrat die Tankstelle. Sofort sagte er seine","Nummer","und bezahlte.",-4.44719409942627,0.858520996281438
"257",86,"script-related","Jakob verließ die Tankstelle. Sofort sagte er seine","Nummer","und bezahlte.",-5.34338140487671,0.637691337268939
"258",86,"script-unrelated","Jakob begann Bäume zu fällen. Sofort sagte er seine","Nummer","und bezahlte.",-6.91375827789307,0.25073451777347
"259",87,"control","Hilde begann die Kutsche zu fahren. Schnell bestieg sie den","Kutschbock","und los ging es.",-9.5884838104248,-0.408345033687185
"260",87,"script-related","Hilde war fertig die Kutsche zu fahren. Schnell bestieg sie den","Kutschbock","und los ging es.",-10.6038293838501,-0.658536500800928
"261",87,"script-unrelated","Hilde begann ein Lagerfeuer. Schnell bestieg sie den","Kutschbock","und los ging es.",-13.8885182142258,-1.46791720722529
"262",88,"control","Tom begann Frühstück zu machen. Sofort öffnete er die","Butter","und machte sich ein Brot.",-11.1532917022705,-0.793929599630876
"263",88,"script-related","Tom hörte auf Frühstück zu machen. Sofort öffnete er die","Butter","und machte sich ein Brot.",-10.5149440765381,-0.636634257837257
"264",88,"script-unrelated","Tom ging zum Weihnachtsmarkt. Sofort öffnete er die","Butter","und machte sich ein Brot.",-10.7775764465332,-0.701349542643168
"265",89,"control","Kim ging ins Krankenhaus. Gleich ging sie zur","Rezeption","und fragte nach dem Weg.",-5.94690704345703,0.488976486966517
"266",89,"script-related","Kim verließ das Krankenhaus. Gleich ging sie zur","Rezeption","und fragte nach dem Weg.",-5.41580724716187,0.619844873747025
"267",89,"script-unrelated","Kim fing an sein Mittagessen zu kochen. Gleich ging sie zur","Rezeption","und fragte nach dem Weg.",-5.53924608230591,0.589428290396675
"268",90,"control","Michael fing an damit einen Kuchen zu backen. Als erstes nahm er einen","Schneebesen","und schlug Eiweiß steif.",-8.36124855279922,-0.105941795188556
"269",90,"script-related","Michael war fertig damit einen Kuchen zu backen. Als erstes nahm er einen","Schneebesen","und schlug Eiweiß steif.",-7.81693649291992,0.028182227600545
"270",90,"script-unrelated","Michael betrat das Restaurant. Als erstes nahm er einen","Schneebesen","und schlug Eiweiß steif.",-11.0415953397751,-0.766406480866766
