"","Tar","Item","Condition","Completion","Part","Cloze","Cloze_Balanced","Association_Noun","Association_Verb","Association_MainVerb","article","target","context","lp_benjamin_gerpt2","s_lp"
"138","Befehl",35,"B","zum Abmarsch.",0,0.75,0,1.7,2.4,6.6,"den","Befehl","Bedächtig erteilt der General, der die Getränke einschenkt, den",-6.97801494598389,-0.331174560857509
"139","Befehl",35,"C","zum Abmarsch.",0,0,0,6,7,1.4,"den","Befehl","Bedächtig biegt der General, der die Rekruten kommandiert, den",-4.53721857070923,0.607759447605057
"140","Befehl",35,"D","zum Abmarsch.",0,0,0,1.7,2.4,1.4,"den","Befehl","Bedächtig biegt der General, der die Getränke einschenkt, den",-6.99342918395996,-0.337104163341716
"141","Wand",36,"A","des Büros.",0,0.5,0,7,5.5,6.4,"die","Wand","Sofort streicht der Maler, nachdem er die Tapete angebracht hat, die",-4.47734832763672,0.630790540196455
"142","Wand",36,"B","des Büros.",0,0.67,0,1.5,1.3,6.4,"die","Wand","Sofort streicht der Maler, nachdem er den Hund gefüttert hat, die",-6.35585021972656,-0.0918380777872784
"143","Wand",36,"C","des Büros.",0,0.08,0,7,5.5,1.1,"die","Wand","Sofort lenkt der Maler, nachdem er die Tapete angebracht hat, die",-4.21517753601074,0.731643308898015
"144","Wand",36,"D","des Büros.",0,0,0,1.5,1.3,1.1,"die","Wand","Sofort lenkt der Maler, nachdem er den Hund gefüttert hat, die",-6.26993179321289,-0.0587866797171709
"145","Hammer",37,"A","auf das Metall.",0,1,0,6.5,1.9,5.6,"den","Hammer","Direkt schwingt der Schmied, der den Amboss aufgestellt hat, den",-7.89220809936523,-0.682849551327287
"146","Hammer",37,"B","auf das Metall.",0,0.83,0,2.9,3.8,5.6,"den","Hammer","Direkt schwingt der Schmied, der den Stuhl weggestellt hat, den",-7.57972288131714,-0.562641654700031
"147","Hammer",37,"C","auf das Metall.",0,0,0,6.5,1.9,1.2,"den","Hammer","Direkt speichert der Schmied, der den Amboss aufgestellt hat, den",-8.33324813842773,-0.852510362021846
"148","Hammer",37,"D","auf das Metall.",0,0,0,2.9,3.8,1.2,"den","Hammer","Direkt speichert der Schmied, der den Stuhl weggestellt hat, den",-8.08095741271973,-0.755458291317958
"149","Land",38,"A","im Norden.",1,0.33,0,6.6,2.5,7,"das","Land","Vor langer Zeit regierte der König, der die Reise unternahm, das",-2.21288061141968,1.50189382900828
"150","Land",38,"B","im Norden.",1,0.5,0,2.4,2.5,7,"das","Land","Vor langer Zeit regierte der König, der den Gesang vernahm, das",-3.93206310272217,0.840552750256611
"151","Land",38,"C","im Norden.",1,0,0,6.6,2.5,1.2,"das","Land","Vor langer Zeit briet der König, der die Reise unternahm, das",-2.78414463996887,1.28213800273383
"152","Land",38,"D","im Norden.",1,0,0,2.4,2.5,1.2,"das","Land","Vor langer Zeit briet der König, der den Gesang vernahm, das",-4.77059745788574,0.517982448488316
"153","Stab",39,"A","und gab den Takt an.",0,0.42,1,1.9,1.6,3,"den","Stab","Zügig hob der Dirigent, der das Tempo wechselte, den",-5.83665561676025,0.10788750140219
"154","Stab",39,"B","und gab den Takt an.",0,0.5,1,1,1.6,3,"den","Stab","Zügig hob der Dirigent, der das Gähnen unterdrückte, den",-5.82045125961304,0.114121049667388
"155","Stab",39,"C","und gab den Takt an.",0,0,1,1.9,1.6,1.3,"den","Stab","Zügig verdrückte der Dirigent, der das Tempo wechselte, den",-7.21897888183594,-0.423869402785494
"156","Stab",39,"D","und gab den Takt an.",0,0,1,1,1.6,1.3,"den","Stab","Zügig verdrückte der Dirigent, der das Gähnen unterdrückte, den",-7.79428052902222,-0.645178434190027
"157","Bart",40,"A","des Mannes.",2,0.58,0,5.4,1.3,6.8,"den","Bart","Direkt trimmt der Herrenfriseur, nachdem er die Klinge ausgepackt hat, den",-4.61861133575439,0.576448996672783
"158","Bart",40,"B","des Mannes.",2,0.25,0,1.2,1,6.8,"den","Bart","Direkt trimmt der Herrenfriseur, nachdem er das Wasserglas abgestellt hat, den",-6.53916883468628,-0.162357717898823
"159","Bart",40,"C","des Mannes.",2,0,0,5.4,1.3,1.7,"den","Bart","Direkt hört der Herrenfriseur, nachdem er die Klinge ausgepackt hat, den",-4.52644729614258,0.611902978834276
"160","Bart",40,"D","des Mannes.",2,0,0,1.2,1,1.7,"den","Bart","Direkt hört der Herrenfriseur, nachdem er das Wasserglas abgestellt hat, den",-6.58746528625488,-0.180936564264377
"161","Geschirr",41,"A","und die Brettchen.",0,0.5,1,6.7,4.7,6.9,"das","Geschirr","Gestern spülte der Tellerwäscher, bevor er den Tisch wischte, das",-4.36711454391479,0.673195654144715
"162","Geschirr",41,"B","und die Brettchen.",0,0.42,1,1.2,1.2,6.9,"das","Geschirr","Gestern spülte der Tellerwäscher, bevor er das Taxi rief, das",-7.75209903717041,-0.628951911720331
"163","Geschirr",41,"C","und die Brettchen.",0,0,1,6.7,4.7,1.1,"das","Geschirr","Gestern glättete der Tellerwäscher, bevor er den Tisch wischte, das",-5.11121559143066,0.386952284430332
"164","Geschirr",41,"D","und die Brettchen.",0,0,1,1.2,1.2,1.1,"das","Geschirr","Gestern glättete der Tellerwäscher, bevor er das Taxi rief, das",-8.17860794067383,-0.793022834828931
"165","Schloss",42,"A","und stiehlt die Wertsachen.",0,0.25,0,7,1.8,6.4,"das","Schloss","Im Handumdrehen knackt der Einbrecher, der den Zahlencode erraten hat, das",-5.65350818634033,0.17834128965171
"166","Schloss",42,"B","und stiehlt die Wertsachen.",0,0.5,0,2.6,1.5,6.4,"das","Schloss","Im Handumdrehen knackt der Einbrecher, der die Akte durchblättert hat, das",-6.51608562469482,-0.153477988682157
"167","Schloss",42,"C","und stiehlt die Wertsachen.",0,0,0,7,1.8,1.6,"das","Schloss","Im Handumdrehen kopiert der Einbrecher, der den Zahlencode erraten hat, das",-5.76844024658203,0.13412882640948
"168","Schloss",42,"D","und stiehlt die Wertsachen.",0,0,0,2.6,1.5,1.6,"das","Schloss","Im Handumdrehen kopiert der Einbrecher, der die Akte durchblättert hat, das",-6.62941455841064,-0.197073755656618
"169","Zwiebeln",43,"A","und den Knoblauch.",0,0.25,1,5.7,2.3,6.2,"die","Zwiebeln","Routiniert hackte der Küchengehilfe, bevor er die Suppe umrührte, die",-7.96428537368774,-0.710576487004612
"170","Zwiebeln",43,"B","und den Knoblauch.",0,0.33,1,1.3,1.1,6.2,"die","Zwiebeln","Routiniert hackte der Küchengehilfe, bevor er das Radio einschaltete, die",-9.67195129394531,-1.3674873312949
"171","Zwiebeln",43,"C","und den Knoblauch.",0,0,1,5.7,2.3,1.3,"die","Zwiebeln","Routiniert schraubte der Küchengehilfe, bevor er die Suppe umrührte, die",-7.98513174057007,-0.718595739662057
"172","Zwiebeln",43,"D","und den Knoblauch.",0,0,1,1.3,1.1,1.3,"die","Zwiebeln","Routiniert schraubte der Küchengehilfe, bevor er das Radio einschaltete, die",-10.095983505249,-1.5306055118649
"173","Wachs",44,"A","und fuhr mit der Arbeit fort.",0,0.83,1,6.7,2.3,6.3,"das","Wachs","Umsichtig schmolz der Kerzenzieher, nachdem er den Docht gekürzt hatte, das",-6.74899864196777,-0.243075775349876
"174","Wachs",44,"B","und fuhr mit der Arbeit fort.",0,0.83,1,1.5,1.4,6.3,"das","Wachs","Umsichtig schmolz der Kerzenzieher, nachdem er das Nähkästchen zugeklappt hatte, das",-7.26486158370972,-0.441519719553354
"175","Wachs",44,"C","und fuhr mit der Arbeit fort.",0,0,1,6.7,2.3,1,"das","Wachs","Umsichtig würzte der Kerzenzieher, nachdem er den Docht gekürzt hatte, das",-6.99953174591064,-0.339451718021939
"176","Wachs",44,"D","und fuhr mit der Arbeit fort.",0,0,1,1.5,1.4,1,"das","Wachs","Umsichtig würzte der Kerzenzieher, nachdem er das Nähkästchen zugeklappt hatte, das",-7.22634696960449,-0.426703784323141
"177","Cocktail",45,"A","für den Touristen.",0,0.5,0,6.2,1.4,6.9,"den","Cocktail","Gestern mixte der Barkeeper, der den Wodka geöffnet hatte, den",-4.7408332824707,0.529432234637675
"178","Cocktail",45,"B","für den Touristen.",0,0.83,0,1.3,1,6.9,"den","Cocktail","Gestern mixte der Barkeeper, der den Boden gefegt hatte, den",-6.9696569442749,-0.327959375794613
"179","Cocktail",45,"C","für den Touristen.",0,0,0,6.2,1.4,1.6,"den","Cocktail","Gestern gründete der Barkeeper, der den Wodka geöffnet hatte, den",-2.92751407623291,1.22698615113078
"180","Cocktail",45,"D","für den Touristen.",0,0.08,0,1.3,1,1.6,"den","Cocktail","Gestern gründete der Barkeeper, der den Boden gefegt hatte, den",-5.70811462402344,0.157335095959747
"181","Orchester",46,"A","und das Streichquartett.",0,0.25,1,6.8,3.6,6.8,"das","Orchester","Am Abend dirigiert der Kapellmeister, der das Konzert eröffnet hat, das",-5.90682315826416,0.0808952083638934
"182","Orchester",46,"B","und das Streichquartett.",0,0.25,1,1.6,1.4,6.8,"das","Orchester","Am Abend dirigiert der Kapellmeister, der die Unterschriften gesammelt hat, das",-9.12030029296875,-1.15527631243798
"183","Orchester",46,"C","und das Streichquartett.",0,0,1,6.8,3.6,1.3,"das","Orchester","Am Abend vernichtet der Kapellmeister, der das Konzert eröffnet hat, das",-6.25302171707153,-0.0522816530235675
"184","Orchester",46,"D","und das Streichquartett.",0,0,1,1.6,1.4,1.3,"das","Orchester","Am Abend vernichtet der Kapellmeister, der die Unterschriften gesammelt hat, das",-9.46616363525391,-1.28832422157195
"185","Wort",47,"A","und notiert es.",3,0.83,0,6.3,3.6,6.8,"das","Wort","Direkt buchstabiert der Sprachschüler, nachdem er das Buch aufgeschlagen hat, das",-4.82703256607056,0.496272795490317
"186","Wort",47,"B","und notiert es.",3,0.67,0,3,2.7,6.8,"das","Wort","Direkt buchstabiert der Sprachschüler, nachdem er den Pausenhof verlassen hat, das",-4.25611066818237,0.715897009756403
"187","Wort",47,"C","und notiert es.",3,0,0,6.3,3.6,1.7,"das","Wort","Direkt dekoriert der Sprachschüler, nachdem er das Buch aufgeschlagen hat, das",-5.07292079925537,0.401683657798724
"188","Wort",47,"D","und notiert es.",3,0,0,3,2.7,1.7,"das","Wort","Direkt dekoriert der Sprachschüler, nachdem er den Pausenhof verlassen hat, das",-4.69286441802979,0.547885063651664
"189","Weide",48,"A","mit einem Draht.",0,0.67,0,6.7,5.4,6,"die","Weide","Vorsichtig umzäunt der Schäfer, der die Schafe gehütet hat, die",-7.02425956726074,-0.348964102035612
"190","Weide",48,"B","mit einem Draht.",0,0.42,0,1.4,1.4,6,"die","Weide","Vorsichtig umzäunt der Schäfer, der das Mittagessen vergessen hat, die",-10.2730407714844,-1.59871651464983
"191","Weide",48,"C","mit einem Draht.",0,0,0,6.7,5.4,1,"die","Weide","Vorsichtig fälscht der Schäfer, der die Schafe gehütet hat, die",-7.76012182235718,-0.632038144529735
"192","Weide",48,"D","mit einem Draht.",0,0,0,1.4,1.4,1,"die","Weide","Vorsichtig fälscht der Schäfer, der das Mittagessen vergessen hat, die",-10.9664134979248,-1.86544553800888
"193","Predigt",49,"A","für die Gemeinde.",0,0.25,0,6.2,2.1,6.2,"die","Predigt","Nachdenklich hält der Pfarrer, nachdem er die Bibel aufgeschlagen hat, die",-4.04790925979614,0.795988649077048
"194","Predigt",49,"B","für die Gemeinde.",0,0.5,0,1.6,2.9,6.2,"die","Predigt","Nachdenklich hält der Pfarrer, nachdem er die Brille aufgesetzt hat, die",-6.73572969436646,-0.237971430601747
"195","Predigt",49,"C","für die Gemeinde.",0,0,0,6.2,2.1,1.3,"die","Predigt","Nachdenklich leert der Pfarrer, nachdem er die Bibel aufgeschlagen hat, die",-5.02205753326416,0.421249915231916
"196","Predigt",49,"D","für die Gemeinde.",0,0,0,1.6,2.9,1.3,"die","Predigt","Nachdenklich leert der Pfarrer, nachdem er die Brille aufgesetzt hat, die",-7.70630979537964,-0.611337547501098
"197","Wohnung",50,"A","mit neuen Möbeln.",0,0.5,0,7,2.7,6.8,"die","Wohnung","Unverzüglich möblierte der Vermieter, der den Mieter aufgenommen hatte, die",-2.01352763175964,1.57858162410143
"198","Wohnung",50,"B","mit neuen Möbeln.",0,0.75,0,4.7,3.6,6.8,"die","Wohnung","Unverzüglich möblierte der Vermieter, der die Überweisung erhalten hatte, die",-3.25022625923157,1.10284411018378
"199","Wohnung",50,"C","mit neuen Möbeln.",0,0,0,7,2.7,1.4,"die","Wohnung","Unverzüglich erntete der Vermieter, der den Mieter aufgenommen hatte, die",-1.64398431777954,1.7207388268123
"200","Wohnung",50,"D","mit neuen Möbeln.",0,0,0,4.7,3.6,1.4,"die","Wohnung","Unverzüglich erntete der Vermieter, der die Überweisung erhalten hatte, die",-3.25228643417358,1.10205159494734
"201","Abzug",51,"A","und trifft das Opfer.",2,0.5,0,3.2,4.4,5.9,"den","Abzug","Sofort betätigt der Killer, der das Ziel anvisiert hat, den",-8.10944938659668,-0.766418682570705
"202","Abzug",51,"B","und trifft das Opfer.",2,0.33,0,1.4,3,5.9,"den","Abzug","Sofort betätigt der Killer, der den Tee abgestellt hat, den",-9.27271556854248,-1.21390794885594
"203","Abzug",51,"C","und trifft das Opfer.",2,0,0,3.2,4.4,1.6,"den","Abzug","Sofort knickt der Killer, der das Ziel anvisiert hat, den",-7.80910587310791,-0.650881498931612
"204","Abzug",51,"D","und trifft das Opfer.",2,0,0,1.4,3,1.6,"den","Abzug","Sofort knickt der Killer, der den Tee abgestellt hat, den",-8.88968563079834,-1.06656266497629
"205","Paket",52,"A","mit der Arbeitskleidung.",0,0.42,1,6.7,4.4,6.5,"das","Paket","Heute überbringt der Bote, als er den Empfänger angetroffen hat, das",-6.11047267913818,0.00255460490646203
"206","Paket",52,"B","mit der Arbeitskleidung.",0,0.33,1,3.6,1.2,6.5,"das","Paket","Heute überbringt der Bote, als er das Foyer durchquert hat, das",-9.2180004119873,-1.19285993281149
"207","Paket",52,"C","mit der Arbeitskleidung.",0,0,1,6.7,4.4,1.3,"das","Paket","Heute erntet der Bote, als er den Empfänger angetroffen hat, das",-6.29408168792725,-0.0680767449097444
"208","Paket",52,"D","mit der Arbeitskleidung.",0,0,1,3.6,1.2,1.3,"das","Paket","Heute erntet der Bote, als er das Foyer durchquert hat, das",-9.51410865783691,-1.30676787901741
"209","Tor",53,"A","und jubelte über seinen Erfolg.",3,0.92,0,6.8,3.4,6.9,"das","Tor","Schnell schoss der Fußballspieler, der das Fußballfeld überquert hatte, das",-3.96536040306091,0.827743829367206
"210","Tor",53,"B","und jubelte über seinen Erfolg.",3,0.67,0,1.6,2.7,6.9,"das","Tor","Schnell schoss der Fußballspieler, der die Jacke ausgezogen hatte, das",-4.88577651977539,0.473674967796144
"211","Tor",53,"C","und jubelte über seinen Erfolg.",3,0,0,6.8,3.4,1.5,"das","Tor","Schnell spürte der Fußballspieler, der das Fußballfeld überquert hatte, das",-4.48642444610596,0.62729910748952
"212","Tor",53,"D","und jubelte über seinen Erfolg.",3,0,0,1.6,2.7,1.5,"das","Tor","Schnell spürte der Fußballspieler, der die Jacke ausgezogen hatte, das",-6.13549137115479,-0.00706967224324273
"213","Flugzeug",54,"A","durch die Wolken.",0,1,1,7,1.8,5.8,"das","Flugzeug","Konzentriert steuerte der Pilot, der die Stewardess gerufen hatte, das",-3.04565453529358,1.18153946991184
"214","Flugzeug",54,"B","durch die Wolken.",0,0.92,1,1.6,3.4,5.8,"das","Flugzeug","Konzentriert steuerte der Pilot, der den Krimi gelesen hatte, das",-3.99192833900452,0.817523583694604
"215","Flugzeug",54,"C","durch die Wolken.",0,0,1,7,1.8,3.1,"das","Flugzeug","Konzentriert faltete der Pilot, der die Stewardess gerufen hatte, das",-3.16273307800293,1.13650129035511
"216","Flugzeug",54,"D","durch die Wolken.",0,0.08,1,1.6,3.4,3.1,"das","Flugzeug","Konzentriert faltete der Pilot, der den Krimi gelesen hatte, das",-4.10998344421387,0.772109736690995
"217","Skizze",55,"A","für den Bauherrn.",0,0.42,0,6.4,6.5,6.7,"die","Skizze","Rasch entwarf der Architekt, bevor er den Bauplan erstellte, die",-8.08224678039551,-0.755954289743909
"218","Skizze",55,"B","für den Bauherrn.",0,0.25,0,4.3,4.7,6.7,"die","Skizze","Rasch entwarf der Architekt, bevor er den Vortrag schrieb, die",-7.65497255325317,-0.591588959285586
"219","Skizze",55,"C","für den Bauherrn.",0,0,0,6.4,6.5,1.2,"die","Skizze","Rasch schüttelte der Architekt, bevor er den Bauplan erstellte, die",-8.03818702697754,-0.73900523110564
"220","Skizze",55,"D","für den Bauherrn.",0,0,0,4.3,4.7,1.2,"die","Skizze","Rasch schüttelte der Architekt, bevor er den Vortrag schrieb, die",-8.51921367645264,-0.924048229671281
"221","Kamin",56,"A","und verlässt das Grundstück.",1,0.42,0,6.8,3,6.4,"den","Kamin","Geschwind kehrt der Schornsteinfeger, der den Rauch einatmet, den",-4.19941520690918,0.737706816282719
"222","Kamin",56,"B","und verlässt das Grundstück.",1,0.17,0,3,1.3,6.4,"den","Kamin","Geschwind kehrt der Schornsteinfeger, der die Katze verscheucht, den",-5.19027614593506,0.356538996331389
"223","Kamin",56,"C","und verlässt das Grundstück.",1,0,0,6.8,3,1.1,"den","Kamin","Geschwind wirft der Schornsteinfeger, der den Rauch einatmet, den",-3.90371799468994,0.851456644647231
"224","Kamin",56,"D","und verlässt das Grundstück.",1,0.08,0,3,1.3,1.1,"den","Kamin","Geschwind wirft der Schornsteinfeger, der die Katze verscheucht, den",-4.48625564575195,0.627364042194692
"225","Wahl",57,"A","zum Minister.",0,1,0,6.5,5.3,6.7,"die","Wahl","Vorgestern gewann der Politiker, der die Stimmen zählte, die",-6.22701072692871,-0.0422756551917606
"226","Wahl",57,"B","zum Minister.",0,0.58,0,2.8,1.6,6.7,"die","Wahl","Vorgestern gewann der Politiker, der die Hände schüttelte, die",-6.98821020126343,-0.335096506991112
"227","Wahl",57,"C","zum Minister.",0,0.08,0,6.5,5.3,1.6,"die","Wahl","Vorgestern reparierte der Politiker, der die Stimmen zählte, die",-7.93708276748657,-0.700112094177816
"228","Wahl",57,"D","zum Minister.",0,0,0,2.8,1.6,1.6,"die","Wahl","Vorgestern reparierte der Politiker, der die Hände schüttelte, die",-8.16049385070801,-0.786054643924704
"229","Foto",58,"A","von der Unfallstelle.",0,0.67,0,6.7,2.1,6.7,"das","Foto","Sofort schoss der Reporter, der die Kamera bediente, das",-4.44204044342041,0.644372899459759
"230","Foto",58,"B","von der Unfallstelle.",0,0.5,0,1.6,1.6,6.7,"das","Foto","Sofort schoss der Reporter, der die Zigarette rauchte, das",-5.50342750549316,0.236074846079483
"231","Foto",58,"C","von der Unfallstelle.",0,0,0,6.7,2.1,1.7,"das","Foto","Sofort verspeiste der Reporter, der die Kamera bediente, das",-4.68089580535889,0.55248919105232
"232","Foto",58,"D","von der Unfallstelle.",0,0,0,1.6,1.6,1.7,"das","Foto","Sofort verspeiste der Reporter, der die Zigarette rauchte, das",-5.67733573913574,0.169175224065624
"233","Programm",59,"A","für seinen Boss.",0,0.5,0,6.9,5.8,6.7,"das","Programm","Unverzüglich entwickelte der Informatiker, der den Computer hochfuhr, das",-5.35097408294678,0.294721157007082
"234","Programm",59,"B","für seinen Boss.",0,0.75,0,1.8,2,6.7,"das","Programm","Unverzüglich entwickelte der Informatiker, der den Energydrink trank, das",-7.26263093948364,-0.440661627601948
"235","Programm",59,"C","für seinen Boss.",0,0,0,6.9,5.8,4.5,"das","Programm","Unverzüglich trocknete der Informatiker, der den Computer hochfuhr, das",-5.63735771179199,0.184554110172037
"236","Programm",59,"D","für seinen Boss.",0,0,0,1.8,2,4.5,"das","Programm","Unverzüglich trocknete der Informatiker, der den Energydrink trank, das",-7.49563455581665,-0.530294266230071
"237","Urteil",60,"A","und schloss die Verhandlung.",0,1,1,7,4.5,6.7,"das","Urteil","Nun verkündete der Richter, nachdem er den Angeklagten hereingerufen hatte, das",-1.65794479846954,1.71536846071904
"238","Urteil",60,"B","und schloss die Verhandlung.",0,1,1,1.9,2.8,6.7,"das","Urteil","Nun verkündete der Richter, nachdem er die Lesebrille aufgesetzt hatte, das",-3.08417820930481,1.16672004948559
"239","Urteil",60,"C","und schloss die Verhandlung.",0,0,1,7,4.5,1.7,"das","Urteil","Nun roch der Richter, nachdem er den Angeklagten hereingerufen hatte, das",-2.20989632606506,1.50304183424083
"240","Urteil",60,"D","und schloss die Verhandlung.",0,0,1,1.9,2.8,1.7,"das","Urteil","Nun roch der Richter, nachdem er die Lesebrille aufgesetzt hatte, das",-5.84505462646484,0.104656541241427
"241","Prüfung",61,"A","in Mathematik.",0,0.58,0,6.6,5,5.8,"die","Prüfung","Zunächst bestand der Student, der das Studium wiederaufnahm, die",-6.27870321273804,-0.0621608997783285
"242","Prüfung",61,"B","in Mathematik.",0,0.25,0,2,1.3,5.8,"die","Prüfung","Zunächst bestand der Student, der das Jackett auszog, die",-8.47874546051025,-0.908480776115949
"243","Prüfung",61,"C","in Mathematik.",0,0,0,6.6,5,3.4,"die","Prüfung","Zunächst kochte der Student, der das Studium wiederaufnahm, die",-7.76413106918335,-0.633580435493269
"244","Prüfung",61,"D","in Mathematik.",0,0,0,2,1.3,3.4,"die","Prüfung","Zunächst kochte der Student, der das Jackett auszog, die",-9.44284725189209,-1.27935479441509
"245","Lied",62,"A","über die Vergangenheit.",1,0.58,1,6.3,1.3,7,"das","Lied","Konzentriert sang der Sänger, der das Mikrofon umklammerte, das",-3.69524049758911,0.931654490731421
"246","Lied",62,"B","über die Vergangenheit.",1,0.58,1,1.9,1.5,7,"das","Lied","Konzentriert sang der Sänger, der den Hut abnahm, das",-3.12997364997864,1.14910330065854
"247","Lied",62,"C","über die Vergangenheit.",1,0,1,6.3,1.3,1.1,"das","Lied","Konzentriert reparierte der Sänger, der das Mikrofon umklammerte, das",-4.50856590270996,0.618781655229678
"248","Lied",62,"D","über die Vergangenheit.",1,0,1,1.9,1.5,1.1,"das","Lied","Konzentriert reparierte der Sänger, der den Hut abnahm, das",-3.51747345924377,1.00003853111141
"249","Farbe",63,"A","für den nächsten Auftrag.",0,0.92,1,6.9,3.5,6.3,"die","Farbe","Zufrieden mischte der Anstreicher, der die Pinsel gewaschen hatte, die",-5.48113346099854,0.244650996377899
"250","Farbe",63,"B","für den nächsten Auftrag.",0,1,1,3.5,1.8,6.3,"die","Farbe","Zufrieden mischte der Anstreicher, der die Plätzchen gegessen hatte, die",-8.60369873046875,-0.956548233041533
"251","Farbe",63,"C","für den nächsten Auftrag.",0,0,1,6.9,3.5,1.4,"die","Farbe","Zufrieden würzte der Anstreicher, der die Pinsel gewaschen hatte, die",-5.50764989852905,0.234450561293315
"252","Farbe",63,"D","für den nächsten Auftrag.",0,0,1,3.5,1.8,1.4,"die","Farbe","Zufrieden würzte der Anstreicher, der die Plätzchen gegessen hatte, die",-8.55374717712402,-0.937332696388821
"253","Blumen",64,"A","im Blumenkasten.",0,0.58,1,6.2,5.8,7,"die","Blumen","Einen Moment lang gießt der Gärtner, der den Dünger verteilt hat, die",-4.4511923789978,0.640852301164907
"254","Blumen",64,"B","im Blumenkasten.",0,0.5,1,2,1.4,7,"die","Blumen","Einen Moment lang gießt der Gärtner, der die Opernmusik angestellt hat, die",-6.95632076263428,-0.322829167223238
"255","Blumen",64,"C","im Blumenkasten.",0,0,1,6.2,5.8,1.7,"die","Blumen","Einen Moment lang ölt der Gärtner, der den Dünger verteilt hat, die",-4.56742191314697,0.596140721163427
"256","Blumen",64,"D","im Blumenkasten.",0,0,1,2,1.4,1.7,"die","Blumen","Einen Moment lang ölt der Gärtner, der die Opernmusik angestellt hat, die",-7.14396190643311,-0.395011612708765
"257","Hecke",65,"A","um das Grundstück.",2,0.5,1,6.6,1.9,6.5,"die","Hecke","Gestern Nachmittag stutzte der Landschaftsgärtner, der die Gartenschere geschärft hatte, die",-7.89518368244171,-0.683994208937324
"258","Hecke",65,"B","um das Grundstück.",2,0.58,1,1.4,1.8,6.5,"die","Hecke","Gestern Nachmittag stutzte der Landschaftsgärtner, der die Sonnenbrille aufgesetzt hatte, die",-10.1245057582855,-1.54157755100967
"259","Hecke",65,"C","um das Grundstück.",2,0,1,6.6,1.9,1.3,"die","Hecke","Gestern Nachmittag bezahlte der Landschaftsgärtner, der die Gartenschere geschärft hatte, die",-7.1464906334877,-0.395984372195681
"260","Hecke",65,"D","um das Grundstück.",2,0,1,1.4,1.8,1.3,"die","Hecke","Gestern Nachmittag bezahlte der Landschaftsgärtner, der die Sonnenbrille aufgesetzt hatte, die",-9.81712245941162,-1.42333227833155
"261","Feld",66,"A","mit einem Gaul.",2,0.92,0,6.8,2.1,6.2,"das","Feld","Früher beackerte der Landwirt, der den Traktor gestartet hatte, das",-4.88138771057129,0.475363270130631
"262","Feld",66,"B","mit einem Gaul.",2,0.67,0,3.9,1.1,6.2,"das","Feld","Früher beackerte der Landwirt, der den Sonnenhut aufgesetzt hatte, das",-5.75332832336426,0.139942133404761
"263","Feld",66,"C","mit einem Gaul.",2,0,0,6.8,2.1,2.5,"das","Feld","Früher kopierte der Landwirt, der den Traktor gestartet hatte, das",-4.89468002319336,0.470249937245345
"264","Feld",66,"D","mit einem Gaul.",2,0,0,3.9,1.1,2.5,"das","Feld","Früher kopierte der Landwirt, der den Sonnenhut aufgesetzt hatte, das",-5.75043916702271,0.141053544078888
"265","Schuh",67,"A","und polierte ihn.",1,0.5,0,6.4,4.1,4.9,"den","Schuh","Heute Morgen flickte der Schuster, der den Absatz ausgetauscht hatte, den",-4.53323841094971,0.609290549254988
"266","Schuh",67,"B","und polierte ihn.",1,0.75,0,1.2,1,4.9,"den","Schuh","Heute Morgen flickte der Schuster, der die Sirene gehört hatte, den",-4.48320436477661,0.628537819534803
"267","Schuh",67,"C","und polierte ihn.",1,0,0,6.4,4.1,1,"den","Schuh","Heute Morgen schmeckte der Schuster, der den Absatz ausgetauscht hatte, den",-5.1128978729248,0.386305138555052
"268","Schuh",67,"D","und polierte ihn.",1,0,0,1.2,1,1,"den","Schuh","Heute Morgen schmeckte der Schuster, der die Sirene gehört hatte, den",-5.45671558380127,0.254044150000718
"269","Koffer",68,"A","für die Kreuzfahrt.",1,0.83,0,6.6,3.5,6.9,"den","Koffer","Schnell packte der Urlauber, als er die Klamotten gefaltet hatte, den",-1.94379210472107,1.60540772831801
"270","Koffer",68,"B","für die Kreuzfahrt.",1,0.5,0,1.2,1.9,6.9,"den","Koffer","Schnell packte der Urlauber, als er die Gardinen aufgezogen hatte, den",-2.61506533622742,1.34718001525819
"271","Koffer",68,"C","für die Kreuzfahrt.",1,0,0,6.6,3.5,1.2,"den","Koffer","Schnell rührte der Urlauber, als er die Klamotten gefaltet hatte, den",-4.09307193756104,0.77861531367871
"272","Koffer",68,"D","für die Kreuzfahrt.",1,0,0,1.2,1.9,1.2,"den","Koffer","Schnell rührte der Urlauber, als er die Gardinen aufgezogen hatte, den",-5.53350925445557,0.224502894637341
"273","Honig",69,"A","aus den Waben.",0,1,1,6.9,1,5.5,"den","Honig","Sorgfältig erntet der Imker, nachdem er den Bienenstock erreicht hat, den",-3.29732179641724,1.08472723572494
"274","Honig",69,"B","aus den Waben.",0,0.92,1,2.8,1.1,5.5,"den","Honig","Sorgfältig erntet der Imker, nachdem er das Haus verlassen hat, den",-4.56104183197021,0.598595032901306
"275","Honig",69,"C","aus den Waben.",0,0,1,6.9,1,1.2,"den","Honig","Sorgfältig näht der Imker, nachdem er den Bienenstock erreicht hat, den",-3.08318877220154,1.16710066957947
"276","Honig",69,"D","aus den Waben.",0,0,1,2.8,1.1,1.2,"den","Honig","Sorgfältig näht der Imker, nachdem er das Haus verlassen hat, den",-4.94635248184204,0.45037239677634
