,target,Condition,ContextCode,PlausibilityJudgement,Cloze,Sentence,context,semantic_association,implementation,model
273,wrong,Unrel,83,1.64,0.0,"The government controlled the news media, so most of the reports from the war zone were wrong","The government controlled the news media, so most of the reports from the war zone were",0.43259144,WE,enwiki_20180420_100d
274,tooth,Unrel,84,1.67,0.09375,"Grinning wherever he went, it was easy to tell that Carl was proud of his new gold tooth","Grinning wherever he went, it was easy to tell that Carl was proud of his new gold",0.41977105,WE,enwiki_20180420_100d
275,theatre,Unrel,85,1.09,0.0,"During the summer, the children hung out at the theatre","During the summer, the children hung out at the",0.507668,WE,enwiki_20180420_100d
276,king,Unrel,86,1.54,0.03125,"The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be king","The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be",0.55684626,WE,enwiki_20180420_100d
277,bicycle,Unrel,88,1.09,0.0,The little girl kept a lock on her bicycle,The little girl kept a lock on her,0.4702521,WE,enwiki_20180420_100d
278,bees,Unrel,89,2.83,0.0333333333333333,"Flying low above her, Bernice could hear the bees","Flying low above her, Bernice could hear the",0.47716036,WE,enwiki_20180420_100d
279,jaw,Unrel,97,1.63,0.0,Perry heard a grinding noise coming from his jaw,Perry heard a grinding noise coming from his,0.48431838,WE,enwiki_20180420_100d
280,leave,Unrel,98,1.96,0.0,"If Jim's manager is incompetent, he has a legitimate right to leave","If Jim's manager is incompetent, he has a legitimate right to",0.5988237,WE,enwiki_20180420_100d
281,princess,Unrel,101,1.63,0.0,"In the best part of the movie, the hero has to impersonate the princess","In the best part of the movie, the hero has to impersonate the",0.45025676,WE,enwiki_20180420_100d
282,gown,Unrel,103,1.12,0.03125,The princess wore a gown,The princess wore a,0.6545024,WE,enwiki_20180420_100d
283,bushes,Unrel,106,1.59,0.0357142857142857,Jason was disappointed when the other scouts scared off the elk by loudly beating the bushes,Jason was disappointed when the other scouts scared off the elk by loudly beating the,0.49000826,WE,enwiki_20180420_100d
284,damp,Unrel,107,1.3,0.03125,"After the flood, the house smelled of mildew and everything in it was damp","After the flood, the house smelled of mildew and everything in it was",0.57870364,WE,enwiki_20180420_100d
285,celebrity,Unrel,109,1.36,0.0,Everyone on the scene gathered around to look at the celebrity,Everyone on the scene gathered around to look at the,0.5040939,WE,enwiki_20180420_100d
286,posted,Unrel,115,1.06,0.0,The final score of the game was posted,The final score of the game was,0.49298388,WE,enwiki_20180420_100d
287,blue,Unrel,117,1.41,0.0,"After swimming the English Channel, Bonita was cold and completely blue","After swimming the English Channel, Bonita was cold and completely",0.50677794,WE,enwiki_20180420_100d
288,opinion,Unrel,120,1.56,0.0,"She had the data to back up everything she said, so the hostile questions did not shake her opinion","She had the data to back up everything she said, so the hostile questions did not shake her",0.5773005,WE,enwiki_20180420_100d
289,pattern,Unrel,125,1.51,0.0357142857142857,"The new dress was very pretty, but it was cut from an unusual pattern","The new dress was very pretty, but it was cut from an unusual",0.57213753,WE,enwiki_20180420_100d
290,smile,Unrel,128,1.81,0.0344827586206896,"When the little girl saw the big dog lumbering towards her, she began to smile","When the little girl saw the big dog lumbering towards her, she began to",0.6024458,WE,enwiki_20180420_100d
291,parade,Unrel,132,1.24,0.0689655172413793,"From her house a half mile away, Diana could still hear the loud cheers coming from the parade","From her house a half mile away, Diana could still hear the loud cheers coming from the",0.54877883,WE,enwiki_20180420_100d
292,battle,Unrel,133,1.33,0.1,Five ships did not survive the battle,Five ships did not survive the,0.42336446,WE,enwiki_20180420_100d
293,exploded,Unrel,135,1.61,0.0,The paramedics on the scene helped the passengers after the big car exploded,The paramedics on the scene helped the passengers after the big car,0.5768039,WE,enwiki_20180420_100d
294,takeoff,Unrel,136,1.13,0.0666666666666666,The pilot spoke to an air traffic controller just before the takeoff,The pilot spoke to an air traffic controller just before the,0.54204786,WE,enwiki_20180420_100d
295,meeting,Unrel,140,1.19,0.1428571428571428,The boy scouts started a long hike through the forest after having a big meeting,The boy scouts started a long hike through the forest after having a big,0.54065406,WE,enwiki_20180420_100d
296,airlines,Unrel,143,1.19,0.0714285714285714,"When traveling, Roger prefers to stick to major airlines","When traveling, Roger prefers to stick to major",0.28951007,WE,enwiki_20180420_100d
297,glasses,Unrel,147,1.61,0.0357142857142857,"While hemming a pair of pants, Bridget accidentally dropped her glasses","While hemming a pair of pants, Bridget accidentally dropped her",0.6129654,WE,enwiki_20180420_100d
298,mine,Unrel,148,1.67,0.0,The rangers say that somewhere in the state park is a mine,The rangers say that somewhere in the state park is a,0.45225722,WE,enwiki_20180420_100d
299,tumors,Unrel,153,1.5,0.0,The doctor told him his headaches were due to tumors,The doctor told him his headaches were due to,0.44600576,WE,enwiki_20180420_100d
300,banners,Unrel,156,1.32,0.0,"The groups in the parade walked by slowly, each waving their banners","The groups in the parade walked by slowly, each waving their",0.64856035,WE,enwiki_20180420_100d
301,hospital,Unrel,158,1.59,0.0,"The little girl was very sick, but unfortunately there was no hospital","The little girl was very sick, but unfortunately there was no",0.47364524,WE,enwiki_20180420_100d
302,sky,Unrel,161,1.67,0.1,"The meteor shower should have been spectacular, but the city lights blocked the sky","The meteor shower should have been spectacular, but the city lights blocked the",0.57802933,WE,enwiki_20180420_100d
303,sell,Unrel,162,1.0,0.0344827586206896,She was unsure how the book would sell,She was unsure how the book would,0.45728955,WE,enwiki_20180420_100d
304,delivery,Unrel,166,1.61,0.0,"He was desperate for a job, so finally took something doing door to door delivery","He was desperate for a job, so finally took something doing door to door",0.5512795,WE,enwiki_20180420_100d
305,procedures,Unrel,168,1.5,0.0,The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical procedures,The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical,0.5286103,WE,enwiki_20180420_100d
306,female,Unrel,169,1.35,0.0,"Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were female","Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were",0.5319571,WE,enwiki_20180420_100d
307,today,Unrel,172,1.27,0.0625,"In the window, they posted the hours they were open for today","In the window, they posted the hours they were open for",0.58690554,WE,enwiki_20180420_100d
308,scratching,Unrel,173,1.79,0.0,They sent the kids with measles home from school because they were scratching,They sent the kids with measles home from school because they were,0.42871356,WE,enwiki_20180420_100d
309,horses,Unrel,174,1.19,0.0344827586206896,"Outside, Cora could hear the running horses","Outside, Cora could hear the running",0.49008083,WE,enwiki_20180420_100d
310,swim,Unrel,177,1.25,0.0,At night they often took a short swim,At night they often took a short,0.4935623,WE,enwiki_20180420_100d
311,banned,Unrel,182,1.93,0.0,The wealthy author always points out that she wrote four novels before one was banned,The wealthy author always points out that she wrote four novels before one was,0.45472667,WE,enwiki_20180420_100d
312,ball,Unrel,185,2.15,0.0,The kitten waited patiently because behind the refrigerator was a ball,The kitten waited patiently because behind the refrigerator was a,0.54337406,WE,enwiki_20180420_100d
313,dark,Unrel,187,1.13,0.0344827586206896,Norton hates getting up on winter mornings because it is always dark,Norton hates getting up on winter mornings because it is always,0.55658245,WE,enwiki_20180420_100d
314,plants,Unrel,190,1.15,0.0,The fertilizer enriched the plants,The fertilizer enriched the,0.66014695,WE,enwiki_20180420_100d
315,doll,Unrel,193,1.5,0.0,The young girl passed her friend a doll,The young girl passed her friend a,0.63413924,WE,enwiki_20180420_100d
316,ruined,Unrel,196,2.43,0.0,He tinkered with the engine every weekend until it was absolutely ruined,He tinkered with the engine every weekend until it was absolutely,0.48732382,WE,enwiki_20180420_100d
317,safety,Unrel,197,1.16,0.1875,"When Diane heard the shark warning, she swam as fast as she could for safety","When Diane heard the shark warning, she swam as fast as she could for",0.5244322,WE,enwiki_20180420_100d
318,castle,Unrel,198,1.15,0.0,Michael could hear the bells ringing in the tower of the castle,Michael could hear the bells ringing in the tower of the,0.50912005,WE,enwiki_20180420_100d
319,torn,Unrel,200,1.34,0.0,"When he got home from work on the construction site, his clothes were always torn","When he got home from work on the construction site, his clothes were always",0.53167224,WE,enwiki_20180420_100d
320,tub,Unrel,201,2.19,0.0,Kevin propped his head up with a pillow as he basked in the hot tub,Kevin propped his head up with a pillow as he basked in the hot,0.6040574,WE,enwiki_20180420_100d
321,boss,Unrel,203,1.7,0.0,He bought it without even asking the boss,He bought it without even asking the,0.4941278,WE,enwiki_20180420_100d
322,older,Unrel,204,1.48,0.0344827586206896,"Barry has considered proposing to his girlfriend, but he wants to wait until he is older","Barry has considered proposing to his girlfriend, but he wants to wait until he is",0.43658987,WE,enwiki_20180420_100d
323,watch,Unrel,205,1.0,0.0,John was disappointed to discover a scratch on his new watch,John was disappointed to discover a scratch on his new,0.57853657,WE,enwiki_20180420_100d
324,reputation,Unrel,206,1.19,0.0,He was afraid that doing drugs would damage his reputation,He was afraid that doing drugs would damage his,0.59039664,WE,enwiki_20180420_100d
325,happy,Unrel,207,1.65,0.0689655172413793,"They've been living together for a long time, but don't think they're actually happy","They've been living together for a long time, but don't think they're actually",0.6552587,WE,enwiki_20180420_100d
326,jokes,Unrel,208,1.44,0.0,Dennis the Menance was known for making jokes,Dennis the Menance was known for making,0.46055013,WE,enwiki_20180420_100d
327,help,Unrel,211,1.21,0.03125,When the shooting started they ran for help,When the shooting started they ran for,0.5634568,WE,enwiki_20180420_100d
328,contaminated,Unrel,212,2.16,0.0,The federal agents examined the hundred dollar bill with a microscope to see if it was contaminated,The federal agents examined the hundred dollar bill with a microscope to see if it was,0.46814626,WE,enwiki_20180420_100d
329,cool,Unrel,213,1.71,0.1034482758620689,Eva turned down the heat and left the sauce on the stove to cool,Eva turned down the heat and left the sauce on the stove to,0.57667464,WE,enwiki_20180420_100d
330,horse,Unrel,215,1.75,0.0,"Alone in the canyon, he was so spooked he was scared by his own horse","Alone in the canyon, he was so spooked he was scared by his own",0.5554755,WE,enwiki_20180420_100d
331,joke,Unrel,220,1.37,0.0357142857142857,Betsy could never tell a joke,Betsy could never tell a,0.58892345,WE,enwiki_20180420_100d
332,principal,Unrel,221,1.06,0.03125,The bad boy was sent to his principal,The bad boy was sent to his,0.39784193,WE,enwiki_20180420_100d
333,tattoos,Unrel,223,2.09,0.0344827586206896,"The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his tattoos","The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his",0.552188,WE,enwiki_20180420_100d
334,hiding,Unrel,226,1.21,0.03125,"Trying to evade their captors, the escaped prisoners of war lived in constant hiding","Trying to evade their captors, the escaped prisoners of war lived in constant",0.6814461,WE,enwiki_20180420_100d
335,broken,Unrel,228,1.13,0.0,The tip of the knife was broken,The tip of the knife was,0.5859921,WE,enwiki_20180420_100d
336,fly,Unrel,230,1.3,0.125,The little girl pulled on the rubber band to see how far it would fly,The little girl pulled on the rubber band to see how far it would,0.5662318,WE,enwiki_20180420_100d
337,camp,Unrel,232,1.13,0.0,The soldiers had special night vision goggles so they could see the camp,The soldiers had special night vision goggles so they could see the,0.48961186,WE,enwiki_20180420_100d
338,hungry,Unrel,233,1.85,0.0,George was born into a wealthy family and has no idea what it's like to be hungry,George was born into a wealthy family and has no idea what it's like to be,0.558659,WE,enwiki_20180420_100d
339,castle,Unrel,237,1.71,0.0,"Looking for bats, Karen descended into the depths of the castle","Looking for bats, Karen descended into the depths of the",0.44553927,WE,enwiki_20180420_100d
340,contrast,Unrel,239,1.44,0.0,We finally got a decent picture on the TV after an hour of adjusting the contrast,We finally got a decent picture on the TV after an hour of adjusting the,0.5855724,WE,enwiki_20180420_100d
341,state,Unrel,240,2.21,0.0,It took a week to get his car fixed because the parts were out of state,It took a week to get his car fixed because the parts were out of,0.5099503,WE,enwiki_20180420_100d
342,vote,Unrel,242,1.12,0.0,The dispute was settled by a third vote,The dispute was settled by a third,0.45429996,WE,enwiki_20180420_100d
343,separately,Unrel,244,1.46,0.0,Our guests should be arriving separately,Our guests should be arriving,0.5876253,WE,enwiki_20180420_100d
344,grease,Unrel,245,1.66,0.0,The dough was put in the hot grease,The dough was put in the hot,0.5899723,WE,enwiki_20180420_100d
345,productive,Unrel,250,1.19,0.03125,Andrew was glad that the meeting was very productive,Andrew was glad that the meeting was very,0.39926702,WE,enwiki_20180420_100d
346,group,Unrel,252,1.48,0.0,"When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour group","When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour",0.5013027,WE,enwiki_20180420_100d
347,dusk,Unrel,254,2.11,0.0,Most shark attacks occur very close to dusk,Most shark attacks occur very close to,0.47310776,WE,enwiki_20180420_100d
348,mechanic,Unrel,255,1.61,0.0344827586206896,He didn't have to spend much money on the car because he found an incredible mechanic,He didn't have to spend much money on the car because he found an incredible,0.49755484,WE,enwiki_20180420_100d
349,hospital,Unrel,256,1.18,0.0,The wealthy child went to a private hospital,The wealthy child went to a private,0.49553755,WE,enwiki_20180420_100d
350,stereo,Unrel,260,1.5,0.0,"When you go to bed, turn off the stereo","When you go to bed, turn off the",0.40265954,WE,enwiki_20180420_100d
351,diet,Unrel,261,1.78,0.0,George must keep his pet on a diet,George must keep his pet on a,0.42875534,WE,enwiki_20180420_100d
352,boxes,Unrel,263,1.09,0.0,"He didn't have time to file everything on his desk, so he organized it into two boxes","He didn't have time to file everything on his desk, so he organized it into two",0.49668756,WE,enwiki_20180420_100d
353,resign,Unrel,265,1.41,0.0,The whole town came to hear their mayor resign,The whole town came to hear their mayor,0.52377844,WE,enwiki_20180420_100d
354,doll,Unrel,273,1.63,0.0,Josie found she could not bend the elbow of her broken doll,Josie found she could not bend the elbow of her broken,0.51744676,WE,enwiki_20180420_100d
355,lonely,Unrel,275,1.33,0.0,It's hard to admit when one is lonely,It's hard to admit when one is,0.4761529,WE,enwiki_20180420_100d
356,heard,Unrel,276,1.54,0.0333333333333333,Vic asked her to repeat what she had heard,Vic asked her to repeat what she had,0.63316536,WE,enwiki_20180420_100d
357,twice,Unrel,281,1.32,0.0,When they were in London they visited Buckingham twice,When they were in London they visited Buckingham,0.6566048,WE,enwiki_20180420_100d
358,jet,Unrel,282,1.33,0.0,The agent was sent to South America on a secret jet,The agent was sent to South America on a secret,0.4064034,WE,enwiki_20180420_100d
359,morning,Unrel,283,1.91,0.0,Sam knew that rain was coming because he could smell it in the morning,Sam knew that rain was coming because he could smell it in the,0.50691974,WE,enwiki_20180420_100d
360,vacation,Unrel,286,1.59,0.0,His boss refused to give him a vacation,His boss refused to give him a,0.49113747,WE,enwiki_20180420_100d
361,dinner,Unrel,287,1.42,0.0,She flew in late last night and really didn't get much dinner,She flew in late last night and really didn't get much,0.53512824,WE,enwiki_20180420_100d
362,helicopters,Unrel,288,1.37,0.0,"After a week, they gave up on the missing hikers and called off the helicopters","After a week, they gave up on the missing hikers and called off the",0.3728552,WE,enwiki_20180420_100d
363,pillow,Implaus,1,4.39,0.0,"Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major pillow","Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major",0.45229122,WE,enwiki_20180420_100d
364,chaos,Implaus,8,4.18,0.0,The cigar burned a hole in the chaos,The cigar burned a hole in the,0.49260747,WE,enwiki_20180420_100d
365,umbrella,Implaus,11,4.5,0.0,"His first film was a failure, but he learned some techniques in that first umbrella","His first film was a failure, but he learned some techniques in that first",0.4329134,WE,enwiki_20180420_100d
366,autumn,Implaus,17,4.66,0.0,He was hired for the job because of his fresh new autumn,He was hired for the job because of his fresh new,0.45780188,WE,enwiki_20180420_100d
367,treason,Implaus,18,4.55,0.0,The journal issue that has the new article about diseases of the eye is still in treason,The journal issue that has the new article about diseases of the eye is still in,0.33027896,WE,enwiki_20180420_100d
368,disorder,Implaus,22,4.37,0.0,Every spring they held the annual disorder,Every spring they held the annual,0.30595213,WE,enwiki_20180420_100d
369,king,Implaus,23,4.46,0.0,"Penelope started to assemble her new bicycle, but was missing the king","Penelope started to assemble her new bicycle, but was missing the",0.44059506,WE,enwiki_20180420_100d
370,treason,Implaus,24,4.63,0.0,The restaurant will reopen with new treason,The restaurant will reopen with new,0.3127272,WE,enwiki_20180420_100d
371,weekends,Implaus,28,4.82,0.0,Jennifer disliked walking under the trees at the edge of the park because they were always full of weekends,Jennifer disliked walking under the trees at the edge of the park because they were always full of,0.48133844,WE,enwiki_20180420_100d
372,allergic,Implaus,36,4.21,0.0,"The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or allergic","The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or",0.43229613,WE,enwiki_20180420_100d
373,dusk,Implaus,37,4.11,0.0,I don't know why people like to see their initials in dusk,I don't know why people like to see their initials in,0.35174122,WE,enwiki_20180420_100d
374,disqualified,Implaus,38,3.94,0.0,The gem cutter examined the ruby very closely before cutting because he knew that one this large was very disqualified,The gem cutter examined the ruby very closely before cutting because he knew that one this large was very,0.37580648,WE,enwiki_20180420_100d
375,bicycle,Implaus,39,4.04,0.0,They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's bicycle,They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's,0.4170592,WE,enwiki_20180420_100d
376,blankets,Implaus,40,4.26,0.0,He took a job training dogs for the blankets,He took a job training dogs for the,0.46027693,WE,enwiki_20180420_100d
377,dishes,Implaus,41,4.91,0.0,The conductor gave detailed instructions to the dishes,The conductor gave detailed instructions to the,0.39649266,WE,enwiki_20180420_100d
378,banners,Implaus,45,3.91,0.0,"Down in the basement, Steve and Robert were playing banners","Down in the basement, Steve and Robert were playing",0.44023684,WE,enwiki_20180420_100d
379,gown,Implaus,47,4.29,0.0,"After the most recent price increase, the small business owner decided to order his office supplies from another gown","After the most recent price increase, the small business owner decided to order his office supplies from another",0.39826673,WE,enwiki_20180420_100d
380,takeoff,Implaus,48,4.53,0.0,Sharon was sad that she had lost her takeoff,Sharon was sad that she had lost her,0.29121917,WE,enwiki_20180420_100d
381,metal,Implaus,50,4.3,0.0,"All of armed services will admit women, but females are barred from metal","All of armed services will admit women, but females are barred from",0.397427,WE,enwiki_20180420_100d
382,fired,Implaus,51,4.63,0.0,"After the divorce, she had to move out of the expensive house to an apartment that was fired","After the divorce, she had to move out of the expensive house to an apartment that was",0.47484866,WE,enwiki_20180420_100d
383,ditch,Implaus,52,4.67,0.0,"His tactics usually turned out to be beneficial for the business, but they often came in conflict with his ditch","His tactics usually turned out to be beneficial for the business, but they often came in conflict with his",0.4623871,WE,enwiki_20180420_100d
384,torn,Implaus,53,4.21,0.0,"Some of his jokes were crummy, but those one-liners were torn","Some of his jokes were crummy, but those one-liners were",0.47538498,WE,enwiki_20180420_100d
385,speech,Implaus,60,4.64,0.0,The inspector from the health department found a roach in a very expensive speech,The inspector from the health department found a roach in a very expensive,0.4888823,WE,enwiki_20180420_100d
386,bottle,Implaus,61,4.5,0.0,The conductor had no idea that the train had been boarded by a known bottle,The conductor had no idea that the train had been boarded by a known,0.44037852,WE,enwiki_20180420_100d
387,taxis,Implaus,64,4.55,0.0,The nurse brought him a glass of juice and his taxis,The nurse brought him a glass of juice and his,0.35659406,WE,enwiki_20180420_100d
388,cargo,Implaus,65,3.97,0.0,The teacher was not looking forward to another year of cargo,The teacher was not looking forward to another year of,0.3852831,WE,enwiki_20180420_100d
389,forest,Implaus,67,4.33,0.0,Steve skipped his annual checkup for another forest,Steve skipped his annual checkup for another,0.37441945,WE,enwiki_20180420_100d
390,endangered,Implaus,72,4.13,0.0,"The candidate wanted to please everyone without making any commitments, so his speech was deliberately endangered","The candidate wanted to please everyone without making any commitments, so his speech was deliberately",0.33866188,WE,enwiki_20180420_100d
391,takeoff,Implaus,74,3.74,0.0,She poured water on the takeoff,She poured water on the,0.39658046,WE,enwiki_20180420_100d
392,embarrassed,Implaus,81,4.54,0.0,"Mark liked the older houses, but Susan wanted to buy one that was new and embarrassed","Mark liked the older houses, but Susan wanted to buy one that was new and",0.5914588,WE,enwiki_20180420_100d
393,highway,Implaus,82,4.65,0.0,"In an old sitcom, he was the wise family highway","In an old sitcom, he was the wise family",0.31298777,WE,enwiki_20180420_100d
394,hungry,Implaus,83,4.58,0.0,"The government controlled the news media, so most of the reports from the war zone were hungry","The government controlled the news media, so most of the reports from the war zone were",0.45954832,WE,enwiki_20180420_100d
395,pedestrians,Implaus,84,4.63,0.0,"Grinning wherever he went, it was easy to tell that Carl was proud of his new gold pedestrians","Grinning wherever he went, it was easy to tell that Carl was proud of his new gold",0.40861663,WE,enwiki_20180420_100d
396,gown,Implaus,85,4.79,0.0,"During the summer, the children hung out at the gown","During the summer, the children hung out at the",0.47779948,WE,enwiki_20180420_100d
397,chilly,Implaus,86,4.74,0.0,"The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be chilly","The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be",0.4374807,WE,enwiki_20180420_100d
398,cement,Implaus,88,4.44,0.0,The little girl kept a lock on her cement,The little girl kept a lock on her,0.41147372,WE,enwiki_20180420_100d
399,arena,Implaus,89,3.91,0.0,"Flying low above her, Bernice could hear the arena","Flying low above her, Bernice could hear the",0.34389895,WE,enwiki_20180420_100d
400,cure,Implaus,97,4.66,0.0,Perry heard a grinding noise coming from his cure,Perry heard a grinding noise coming from his,0.49959695,WE,enwiki_20180420_100d
401,water,Implaus,98,4.5,0.0,"If Jim's manager is incompetent, he has a legitimate right to water","If Jim's manager is incompetent, he has a legitimate right to",0.45708254,WE,enwiki_20180420_100d
402,business,Implaus,101,3.77,0.0,"In the best part of the movie, the hero has to impersonate the business","In the best part of the movie, the hero has to impersonate the",0.5060185,WE,enwiki_20180420_100d
403,sound,Implaus,103,4.63,0.0,The princess wore a sound,The princess wore a,0.39288464,WE,enwiki_20180420_100d
404,diamond,Implaus,106,4.5,0.0,Jason was disappointed when the other scouts scared off the elk by loudly beating the diamond,Jason was disappointed when the other scouts scared off the elk by loudly beating the,0.5057671,WE,enwiki_20180420_100d
405,young,Implaus,107,4.27,0.0,"After the flood, the house smelled of mildew and everything in it was young","After the flood, the house smelled of mildew and everything in it was",0.4832906,WE,enwiki_20180420_100d
406,temper,Implaus,109,3.17,0.0,Everyone on the scene gathered around to look at the temper,Everyone on the scene gathered around to look at the,0.4395707,WE,enwiki_20180420_100d
407,bugs,Implaus,115,4.85,0.0,The final score of the game was bugs,The final score of the game was,0.40911928,WE,enwiki_20180420_100d
408,affordable,Implaus,117,4.58,0.0,"After swimming the English Channel, Bonita was cold and completely affordable","After swimming the English Channel, Bonita was cold and completely",0.4179107,WE,enwiki_20180420_100d
409,music,Implaus,120,4.45,0.0,"She had the data to back up everything she said, so the hostile questions did not shake her music","She had the data to back up everything she said, so the hostile questions did not shake her",0.47592208,WE,enwiki_20180420_100d
410,porch,Implaus,125,4.52,0.0,"The new dress was very pretty, but it was cut from an unusual porch","The new dress was very pretty, but it was cut from an unusual",0.42903996,WE,enwiki_20180420_100d
411,attend,Implaus,128,4.18,0.0,"When the little girl saw the big dog lumbering towards her, she began to attend","When the little girl saw the big dog lumbering towards her, she began to",0.42770305,WE,enwiki_20180420_100d
412,mistakes,Implaus,132,4.5,0.0,"From her house a half mile away, Diana could still hear the loud cheers coming from the mistakes","From her house a half mile away, Diana could still hear the loud cheers coming from the",0.52683973,WE,enwiki_20180420_100d
413,eyes,Implaus,133,4.47,0.0,Five ships did not survive the eyes,Five ships did not survive the,0.43482074,WE,enwiki_20180420_100d
414,rest,Implaus,135,3.86,0.0,The paramedics on the scene helped the passengers after the big car rest,The paramedics on the scene helped the passengers after the big car,0.653065,WE,enwiki_20180420_100d
415,fortune,Implaus,136,4.36,0.0,The pilot spoke to an air traffic controller just before the fortune,The pilot spoke to an air traffic controller just before the,0.37991408,WE,enwiki_20180420_100d
416,end,Implaus,140,4.07,0.0,The boy scouts started a long hike through the forest after having a big end,The boy scouts started a long hike through the forest after having a big,0.62019473,WE,enwiki_20180420_100d
417,plants,Implaus,143,4.13,0.0,"When traveling, Roger prefers to stick to major plants","When traveling, Roger prefers to stick to major",0.4553868,WE,enwiki_20180420_100d
418,horse,Implaus,147,4.54,0.0,"While hemming a pair of pants, Bridget accidentally dropped her horse","While hemming a pair of pants, Bridget accidentally dropped her",0.47758654,WE,enwiki_20180420_100d
419,contrast,Implaus,148,3.96,0.0,The rangers say that somewhere in the state park is a contrast,The rangers say that somewhere in the state park is a,0.56692874,WE,enwiki_20180420_100d
420,safety,Implaus,153,4.44,0.0,The doctor told him his headaches were due to safety,The doctor told him his headaches were due to,0.52456164,WE,enwiki_20180420_100d
421,jokes,Implaus,156,3.78,0.0,"The groups in the parade walked by slowly, each waving their jokes","The groups in the parade walked by slowly, each waving their",0.4812964,WE,enwiki_20180420_100d
422,joke,Implaus,158,3.59,0.0,"The little girl was very sick, but unfortunately there was no joke","The little girl was very sick, but unfortunately there was no",0.5518289,WE,enwiki_20180420_100d
423,doll,Implaus,161,4.63,0.0,"The meteor shower should have been spectacular, but the city lights blocked the doll","The meteor shower should have been spectacular, but the city lights blocked the",0.4691073,WE,enwiki_20180420_100d
424,camp,Implaus,162,4.79,0.0,She was unsure how the book would camp,She was unsure how the book would,0.37712598,WE,enwiki_20180420_100d
425,hiding,Implaus,166,4.25,0.0,"He was desperate for a job, so finally took something doing door to door hiding","He was desperate for a job, so finally took something doing door to door",0.6086552,WE,enwiki_20180420_100d
426,pedestrians,Implaus,168,3.29,0.0,The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical pedestrians,The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical,0.4288094,WE,enwiki_20180420_100d
427,bullets,Implaus,169,4.64,0.0,"Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were bullets","Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were",0.4936173,WE,enwiki_20180420_100d
428,texture,Implaus,172,3.37,0.0,"In the window, they posted the hours they were open for texture","In the window, they posted the hours they were open for",0.36824486,WE,enwiki_20180420_100d
429,hard,Implaus,173,4.53,0.0,They sent the kids with measles home from school because they were hard,They sent the kids with measles home from school because they were,0.52043104,WE,enwiki_20180420_100d
430,chapel,Implaus,174,3.88,0.0,"Outside, Cora could hear the running chapel","Outside, Cora could hear the running",0.42539442,WE,enwiki_20180420_100d
431,reputation,Implaus,177,4.07,0.0,At night they often took a short reputation,At night they often took a short,0.43131015,WE,enwiki_20180420_100d
432,hungry,Implaus,182,4.18,0.0,The wealthy author always points out that she wrote four novels before one was hungry,The wealthy author always points out that she wrote four novels before one was,0.5361005,WE,enwiki_20180420_100d
433,savior,Implaus,185,4.09,0.0,The kitten waited patiently because behind the refrigerator was a savior,The kitten waited patiently because behind the refrigerator was a,0.5153809,WE,enwiki_20180420_100d
434,broken,Implaus,187,4.44,0.0,Norton hates getting up on winter mornings because it is always broken,Norton hates getting up on winter mornings because it is always,0.54886746,WE,enwiki_20180420_100d
435,legs,Implaus,190,4.61,0.0,The fertilizer enriched the legs,The fertilizer enriched the,0.25033358,WE,enwiki_20180420_100d
436,mechanic,Implaus,193,4.04,0.0,The young girl passed her friend a mechanic,The young girl passed her friend a,0.5156414,WE,enwiki_20180420_100d
437,forgiven,Implaus,196,4.69,0.0,He tinkered with the engine every weekend until it was absolutely forgiven,He tinkered with the engine every weekend until it was absolutely,0.4876226,WE,enwiki_20180420_100d
438,relaxing,Implaus,197,4.46,0.0,"When Diane heard the shark warning, she swam as fast as she could for relaxing","When Diane heard the shark warning, she swam as fast as she could for",0.54883975,WE,enwiki_20180420_100d
439,deer,Implaus,198,4.33,0.0,Michael could hear the bells ringing in the tower of the deer,Michael could hear the bells ringing in the tower of the,0.44980955,WE,enwiki_20180420_100d
440,sick,Implaus,200,4.48,0.0,"When he got home from work on the construction site, his clothes were always sick","When he got home from work on the construction site, his clothes were always",0.5486545,WE,enwiki_20180420_100d
