"","ItemNum","Condition","context","target","continuation","lp_GroNLP_gpt2_small_dutch","s_lp"
"203",68,"script-related","Jens verliet de douane. Snel toonde hij zijn","formulier","en keek de beambte aan.",-9.36838817596436,-0.19009464746894
"204",68,"script-unrelated","Jens begon te pokeren. Snel toonde hij zijn","formulier","en keek de beambte aan.",-12.0270118713379,-0.75417597102808
"205",69,"control","Elena begon te tekenen. Meteen pakte ze het","potlood","en tekende een bloem.",-4.24880695343018,0.89612908441947
"206",69,"script-related","Elena stopte met tekenen. Meteen pakte ze het","potlood","en tekende een bloem.",-4.21904516220093,0.90244365636032
"207",69,"script-unrelated","Elena begon de vakantie. Meteen pakte ze het","potlood","en tekende een bloem.",-7.04263782501221,0.303360796607698
"208",70,"control","Bruno begon zijn filmavond. Snel haalde hij de","popcorn","uit de keuken.",-8.90340495109558,-0.0914389582966806
"209",70,"script-related","Bruno beëindigde zijn filmavond. Snel haalde hij de","popcorn","uit de keuken.",-8.9559760093689,-0.102592982156214
"210",70,"script-unrelated","Bruno betrad het gemeentehuis. Snel haalde hij de","popcorn","uit de keuken.",-11.9043169021606,-0.728143727078706
"211",71,"control","Jana betrad het tuincentrum. Na een tijdje vroeg ze om een","palmboom","voor het balkon.",-10.5353427454829,-0.437687896281437
"212",71,"script-related","Jana verliet het tuincentrum. Na een tijdje vroeg ze om een","palmboom","voor het balkon.",-11.9545476287603,-0.738801201768712
"213",71,"script-unrelated","Jana ging naar de kermis. Na een tijdje vroeg ze om een","palmboom","voor het balkon.",-12.8286999166012,-0.924270465574484
"214",72,"control","Nico ging naar de pizzeria. Hij greep meteen de","menukaart","en bestelde een margherita.",-4.16303621977568,0.914327097566897
"215",72,"script-related","Nico verliet de pizzeria. Hij greep meteen de","menukaart","en bestelde een margherita.",-5.50522317737341,0.629554718225273
"216",72,"script-unrelated","Nico ging wandelen. Hij greep meteen de","menukaart","en bestelde een margherita.",-7.84551960974932,0.13301302584791
"217",73,"control","Beate ging zwemmen. Snel controleerde ze het","bassin","en zwom weg.",-7.16093617677689,0.278261384850252
"218",73,"script-related","Beate kwam terug van het zwemmen. Snel controleerde ze het","bassin","en zwom weg.",-7.13775038719177,0.283180723717085
"219",73,"script-unrelated","Beate ging met de taxi. Snel controleerde ze het","bassin","en zwom weg.",-12.9001704454422,-0.939434398166475
"220",74,"control","Hubert nam een vliegtuig. Vol enthousiasme genoot hij van de","hoogte","want hij hield van vliegen.",-6.76784038543701,0.36166468658505
"221",74,"script-related","Hubert verliet het vliegtuig. Vol enthousiasme genoot hij van de","hoogte","want hij hield van vliegen.",-8.17355823516846,0.0634129307585024
"222",74,"script-unrelated","Hubert begon te baden. Vol enthousiasme genoot hij van de","hoogte","want hij hield van vliegen.",-7.98103427886963,0.104260820693007
"223",75,"control","Jenni begon de les. Direct opende ze het","schoolbord","en begon te schrijven.",-9.0206515789032,-0.116315225333515
"224",75,"script-related","Jenni stopte de les. Direct opende ze het","schoolbord","en begon te schrijven.",-9.20010924339294,-0.154390834561087
"225",75,"script-unrelated","Jenni betrad de ijshal. Direct opende ze het","schoolbord","en begon te schrijven.",-13.2649803161621,-1.01683626405717
"226",76,"control","Hans betrad de klimhal. Even later greep hij het","touw","en spande het.",-2.67685890197754,1.22964997305543
"227",76,"script-related","Hans verliet de klimhal. Even later greep hij het","touw","en spande het.",-2.26665544509888,1.31668301548536
"228",76,"script-unrelated","Hans begon te bowlen. Even later greep hij het","touw","en spande het.",-3.43552923202515,1.06868256549677
"229",77,"control","Clara ging naar de schietbaan. Ze kreeg meteen een","revolver","en begon op het doel te schieten.",-6.59152698516846,0.399073175931537
"230",77,"script-related","Clara verliet de schietbaan. Ze kreeg meteen een","revolver","en begon op het doel te schieten.",-6.90904140472412,0.331706006089584
"231",77,"script-unrelated","Clara ging op een brandweerinzet. Ze kreeg meteen een","revolver","en begon op het doel te schieten.",-8.21610927581787,0.0543848583125567
"232",78,"control","Georg nam deel aan de yogales. Na een tijdje ging hij op zijn","yogamat","zitten en deed een oefening.",-12.3320429325104,-0.818894541396742
"233",78,"script-related","Georg kwam terug van de yogales. Na een tijdje ging hij op zijn","yogamat","zitten en deed een oefening.",-13.0188927650452,-0.964623763361027
"234",78,"script-unrelated","Georg nam deel aan de voetbalwedstrijd. Na een tijdje ging hij op zijn","yogamat","zitten en deed een oefening.",-15.6799321174622,-1.52921761790554
"235",79,"control","Johanna begon de jacht. Na een tijdje zag ze de","jachthut","en liep erop af.",-8.68530416488647,-0.0451644214495859
"236",79,"script-related","Johanna kwam terug van de jacht. Na een tijdje zag ze de","jachthut","en liep erop af.",-9.25894856452942,-0.166874798426203
"237",79,"script-unrelated","Johanna betrad de slagerij. Na een tijdje zag ze de","jachthut","en liep erop af.",-11.680451631546,-0.680646137116288
"238",80,"control","Jürgen betrad de bakkerij. Even later wees hij naar de","croissant","en maakte zijn keuze.",-9.2665259540081,-0.168482496384247
"239",80,"script-related","Jürgen verliet de bakkerij. Even later wees hij naar de","croissant","en maakte zijn keuze.",-9.86476013064384,-0.295410096834896
"240",80,"script-unrelated","Jürgen betrad de dierentuin. Even later wees hij naar de","croissant","en maakte zijn keuze.",-12.5594847500324,-0.867150968842187
"241",81,"control","Frauke ging naar het stadion. Snel koos ze een","tribune","en ging zitten.",-8.38194274902344,0.0191998995615356
"242",81,"script-related","Frauke verliet het stadion. Snel koos ze een","tribune","en ging zitten.",-9.36821365356445,-0.190057618976905
"243",81,"script-unrelated","Frauke ging naar de wasserette. Snel koos ze een","tribune","en ging zitten.",-12.2433061599731,-0.800067222514317
"244",82,"control","Bernd betrad de kiosk. Hij kocht meteen een","krant","en ging weer naar huis.",-3.36908602714539,1.08277984861936
"245",82,"script-related","Bernd verliet de kiosk. Hij kocht meteen een","krant","en ging weer naar huis.",-3.46677541732788,1.06205304903214
"246",82,"script-unrelated","Bernd betrad het circus. Hij kocht meteen een","krant","en ging weer naar huis.",-7.06950759887695,0.297659825224747
"247",83,"control","Nicole betrad het kantoor. Eerst liep ze naar het","bureau","en zette toen de computer aan.",-1.81559371948242,1.41238497422264
"248",83,"script-related","Nicole verliet het kantoor. Eerst liep ze naar het","bureau","en zette toen de computer aan.",-2.27220344543457,1.31550589388748
"249",83,"script-unrelated","Nicole betrad de sauna. Eerst liep ze naar het","bureau","en zette toen de computer aan.",-5.1794319152832,0.698677989278503
"250",84,"control","Viktor ging naar het lab. Snel begon hij het","experiment","en maakte aantekeningen.",-6.22906875610352,0.475976093009137
"251",84,"script-related","Viktor verliet het lab. Snel begon hij het","experiment","en maakte aantekeningen.",-6.60573482513428,0.39605869246523
"252",84,"script-unrelated","Viktor ging naar de dierenarts. Snel begon hij het","experiment","en maakte aantekeningen.",-7.80414152145386,0.141792232492561
"253",85,"control","Gabi ging naar de paskamer. Snel paste ze de","kleding","en ging naar de kassa.",-6.19857978820801,0.482444950333466
"254",85,"script-related","Gabi verliet de paskamer. Snel paste ze de","kleding","en ging naar de kassa.",-6.37725067138672,0.444536272832279
"255",85,"script-unrelated","Gabi betrad de plaats delict. Snel paste ze de","kleding","en ging naar de kassa.",-5.62213182449341,0.604750160695106
"256",86,"control","Jakob betrad het tankstation. Hij zei meteen zijn","nummer","en betaalde.",-5.32421684265137,0.667958909476661
"257",86,"script-related","Jakob verliet het tankstation. Hij zei meteen zijn","nummer","en betaalde.",-5.25328207015991,0.683009170415423
"258",86,"script-unrelated","Jakob begon bomen te kappen. Hij zei meteen zijn","nummer","en betaalde.",-6.94222116470337,0.324666242261014
"259",87,"control","Hilde begon de koets te besturen. Snel beklom ze de","koets","en daar ging ze.",-6.18911075592041,0.484453998953211
"260",87,"script-related","Hilde was klaar met de koets besturen. Snel beklom ze de","koets","en daar ging ze.",-5.89559602737427,0.546729144115922
"261",87,"script-unrelated","Hilde begon een kampvuur. Snel beklom ze de","koets","en daar ging ze.",-12.3286294937134,-0.818170310631083
"262",88,"control","Tom begon ontbijt te maken. Hij opende meteen de","boter","en maakte een boterham.",-7.23946237564087,0.261600447739691
"263",88,"script-related","Tom stopte met ontbijt maken. Hij opende meteen de","boter","en maakte een boterham.",-7.94091653823853,0.112772618836075
"264",88,"script-unrelated","Tom ging naar de kerstmarkt. Hij opende meteen de","boter","en maakte een boterham.",-9.17564582824707,-0.14920042133402
"265",89,"control","Kim ging naar het ziekenhuis. Meteen liep ze naar de","receptie","en vroeg de weg.",-4.19656181335449,0.907213958075982
"266",89,"script-related","Kim verliet het ziekenhuis. Meteen liep ze naar de","receptie","en vroeg de weg.",-4.42228507995605,0.859322156312434
"267",89,"script-unrelated","Kim begon haar lunch te koken. Meteen liep ze naar de","receptie","en vroeg de weg.",-6.07216930389404,0.509265516714356
"268",90,"control","Michael begon een taart te bakken. Als eerste pakte hij een","garde","en klopte het eiwit stijf.",-9.52115726470947,-0.222507730196002
"269",90,"script-related","Michael was klaar met een taart bakken. Als eerste pakte hij een","garde","en klopte het eiwit stijf.",-9.65787410736084,-0.25151500102181
"270",90,"script-unrelated","Michael betrad het restaurant. Als eerste pakte hij een","garde","en klopte het eiwit stijf.",-10.4169387817383,-0.41256607678515
