"","target","Condition","ContextCode","PlausibilityJudgement","Cloze","Sentence","context","lp_pythia","s_lp"
"174","collision","Rel",136,1.22,0,"The pilot spoke to an air traffic controller just before the collision","The pilot spoke to an air traffic controller just before the",-6.4495792388916,0.426698965934517
"175","dinner","Rel",140,1.71,0,"The boy scouts started a long hike through the forest after having a big dinner","The boy scouts started a long hike through the forest after having a big",-5.25922584533691,0.763691598349559
"176","streets","Rel",143,1.18,0,"When traveling, Roger prefers to stick to major streets","When traveling, Roger prefers to stick to major",-6.53499794006348,0.402516674254377
"177","pin","Rel",147,1.24,0.0357142857142857,"While hemming a pair of pants, Bridget accidentally dropped her pin","While hemming a pair of pants, Bridget accidentally dropped her",-9.4527587890625,-0.423510213714969
"178","cub","Rel",148,1.48,0,"The rangers say that somewhere in the state park is a cub","The rangers say that somewhere in the state park is a",-9.62356185913086,-0.471865077504638
"179","tension","Rel",153,1.41,0,"The doctor told him his headaches were due to tension","The doctor told him his headaches were due to",-8.55483818054199,-0.169306183883604
"180","arms","Rel",156,1.39,0,"The groups in the parade walked by slowly, each waving their arms","The groups in the parade walked by slowly, each waving their",-1.72753822803497,1.76352300427188
"181","remedy","Rel",158,1.78,0.0625,"The little girl was very sick, but unfortunately there was no remedy","The little girl was very sick, but unfortunately there was no",-7.18821334838867,0.217589423928979
"182","sight","Rel",161,1.5,0,"The meteor shower should have been spectacular, but the city lights blocked the sight","The meteor shower should have been spectacular, but the city lights blocked the",-5.77610492706299,0.617361572884615
"183","conclude","Rel",162,1.3,0,"She was unsure how the book would conclude","She was unsure how the book would",-8.95821952819824,-0.283504658848982
"184","solicitation","Rel",166,1.88,0,"He was desperate for a job, so finally took something doing door to door solicitation","He was desperate for a job, so finally took something doing door to door",-14.5012214183807,-1.85274519579238
"185","words","Rel",168,1.59,0,"The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical words","The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical",-4.26969861984253,1.04382973746966
"186","older","Rel",169,1.72,0,"Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were older","Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were",-5.16056823730469,0.791621864452525
"187","service","Rel",172,1.03,0.03125,"In the window, they posted the hours they were open for service","In the window, they posted the hours they were open for",-7.67704629898071,0.0791993426949597
"188","infectious","Rel",173,1.24,0,"They sent the kids with measles home from school because they were infectious","They sent the kids with measles home from school because they were",-9.75098705291748,-0.507939533815396
"189","river","Rel",174,1.32,0,"Outside, Cora could hear the running river","Outside, Cora could hear the running",-7.52598476409912,0.121965318389274
"190","stroll","Rel",177,1.3,0.107142857142857,"At night they often took a short stroll","At night they often took a short",-3.63925457000732,1.22231034759328
"191","printed","Rel",182,1.4,0,"The wealthy author always points out that she wrote four novels before one was printed","The wealthy author always points out that she wrote four novels before one was",-6.39304733276367,0.4427033188978
"192","rat","Rel",185,1.85,0,"The kitten waited patiently because behind the refrigerator was a rat","The kitten waited patiently because behind the refrigerator was a",-7.39790821075439,0.158224176553568
"193","chilly","Rel",187,1.21,0.0344827586206896,"Norton hates getting up on winter mornings because it is always chilly","Norton hates getting up on winter mornings because it is always",-8.90345978736877,-0.268002011221473
"194","dirt","Rel",190,1.11,0,"The fertilizer enriched the dirt","The fertilizer enriched the",-9.11696720123291,-0.328446603413831
"195","letter","Rel",193,1.03,0,"The young girl passed her friend a letter","The young girl passed her friend a",-4.64807605743408,0.936709944783842
"196","correct","Rel",196,2.29,0,"He tinkered with the engine every weekend until it was absolutely correct","He tinkered with the engine every weekend until it was absolutely",-8.29938888549805,-0.0969877187525424
"197","land","Rel",197,1.11,0.09375,"When Diane heard the shark warning, she swam as fast as she could for land","When Diane heard the shark warning, she swam as fast as she could for",-9.05737209320068,-0.31157504876159
"198","cathedral","Rel",198,1.12,0.103448275862069,"Michael could hear the bells ringing in the tower of the cathedral","Michael could hear the bells ringing in the tower of the",-4.28072071075439,1.04070935032142
"199","filthy","Rel",200,1.29,0.03125,"When he got home from work on the construction site, his clothes were always filthy","When he got home from work on the construction site, his clothes were always",-6.44339370727539,0.42845010857293
"200","lamp","Rel",201,2.86,0,"Kevin propped his head up with a pillow as he basked in the hot lamp","Kevin propped his head up with a pillow as he basked in the hot",-7.97653102874756,-0.00558568669102168
"201","cost","Rel",203,1.65,0,"He bought it without even asking the cost","He bought it without even asking the",-6.45326471328735,0.425655597028234
"202","prepared","Rel",204,1.15,0,"Barry has considered proposing to his girlfriend, but he wants to wait until he is prepared","Barry has considered proposing to his girlfriend, but he wants to wait until he is",-6.73764133453369,0.345147718687233
"203","truck","Rel",205,1,0,"John was disappointed to discover a scratch on his new truck","John was disappointed to discover a scratch on his new",-6.14160299301147,0.513887969118283
"204","mind","Rel",206,1.03,0,"He was afraid that doing drugs would damage his mind","He was afraid that doing drugs would damage his",-4.52672147750854,0.971065792018926
"205","engaged","Rel",207,1.89,0,"They've been living together for a long time, but don't think they're actually engaged","They've been living together for a long time, but don't think they're actually",-6.61442852020264,0.380029637681637
"206","mischief","Rel",208,1.54,0.0625,"Dennis the Menance was known for making mischief","Dennis the Menance was known for making",-8.95099520683289,-0.281459431702568
"207","shelter","Rel",211,1.67,0,"When the shooting started they ran for shelter","When the shooting started they ran for",-6.92330265045166,0.292586440727586
"208","genuine","Rel",212,1.76,0,"The federal agents examined the hundred dollar bill with a microscope to see if it was genuine","The federal agents examined the hundred dollar bill with a microscope to see if it was",-5.24768352508545,0.766959263991359
"209","cook","Rel",213,1.26,0.103448275862069,"Eva turned down the heat and left the sauce on the stove to cook","Eva turned down the heat and left the sauce on the stove to",-2.05827879905701,1.66988935204837
"210","reflection","Rel",215,1.78,0,"Alone in the canyon, he was so spooked he was scared by his own reflection","Alone in the canyon, he was so spooked he was scared by his own",-8.99591445922852,-0.294176207403702
"211","fib","Rel",220,1.61,0,"Betsy could never tell a fib","Betsy could never tell a",-12.4809770584106,-1.28080793020866
"212","bedroom","Rel",221,1.26,0,"The bad boy was sent to his bedroom","The bad boy was sent to his",-7.4864068031311,0.1331699583932
"213","wounds","Rel",223,1.74,0.0689655172413793,"The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his wounds","The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his",-4.97073078155518,0.84536542018177
"214","terror","Rel",226,1.09,0.03125,"Trying to evade their captors, the escaped prisoners of war lived in constant terror","Trying to evade their captors, the escaped prisoners of war lived in constant",-3.1658353805542,1.35633674660508
"215","pointed","Rel",228,1.27,0.0344827586206896,"The tip of the knife was pointed","The tip of the knife was",-6.23262500762939,0.488119362518008
"216","extend","Rel",230,1.09,0,"The little girl pulled on the rubber band to see how far it would extend","The little girl pulled on the rubber band to see how far it would",-8.19440650939941,-0.067266891752574
"217","invaders","Rel",232,1.33,0,"The soldiers had special night vision goggles so they could see the invaders","The soldiers had special night vision goggles so they could see the",-9.90105149149895,-0.550423228542755
"218","needy","Rel",233,1.47,0,"George was born into a wealthy family and has no idea what it's like to be needy","George was born into a wealthy family and has no idea what it's like to be",-13.2598114609718,-1.50129829630971
"219","cavern","Rel",237,1.5,0.103448275862069,"Looking for bats, Karen descended into the depths of the cavern","Looking for bats, Karen descended into the depths of the",-7.2934365272522,0.187800424940698
"220","wires","Rel",239,1.39,0,"We finally got a decent picture on the TV after an hour of adjusting the wires","We finally got a decent picture on the TV after an hour of adjusting the",-6.62541007995605,0.376920725026483
"221","supply","Rel",240,1.93,0,"It took a week to get his car fixed because the parts were out of supply","It took a week to get his car fixed because the parts were out of",-6.65022897720337,0.369894420432992
"222","person","Rel",242,1.19,0.03125,"The dispute was settled by a third person","The dispute was settled by a third",-5.29859304428101,0.752546625709661
"223","shortly","Rel",244,1.26,0.0666666666666666,"Our guests should be arriving shortly","Our guests should be arriving",-6.01244688034058,0.550452453780677
"224","stove","Rel",245,1.89,0,"The dough was put in the hot stove","The dough was put in the hot",-6.17988157272339,0.503051187863175
"225","brief","Rel",250,1.29,0.09375,"Andrew was glad that the meeting was very brief","Andrew was glad that the meeting was very",-5.23454570770264,0.770678619678497
"226","van","Rel",252,1.84,0,"When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour van","When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour",-4.75178146362305,0.907350631812988
"227","land","Rel",254,1.53,0.0666666666666666,"Most shark attacks occur very close to land","Most shark attacks occur very close to",-7.53961038589478,0.118107863803038
"228","bargain","Rel",255,1.47,0,"He didn't have to spend much money on the car because he found an incredible bargain","He didn't have to spend much money on the car because he found an incredible",-6.66379547119141,0.366053705107252
"229","college","Rel",256,1.22,0,"The wealthy child went to a private college","The wealthy child went to a private",-5.6285080909729,0.659146681911437
"230","lamp","Rel",260,1.37,0,"When you go to bed, turn off the lamp","When you go to bed, turn off the",-3.75060701370239,1.19078613526287
"231","chain","Rel",261,1.38,0,"George must keep his pet on a chain","George must keep his pet on a",-7.4043436050415,0.156402297040152
"232","stacks","Rel",263,1.5,0.0344827586206896,"He didn't have time to file everything on his desk, so he organized it into two stacks","He didn't have time to file everything on his desk, so he organized it into two",-6.47865962982178,0.418466219638937
"233","talk","Rel",265,1.57,0.0357142857142857,"The whole town came to hear their mayor talk","The whole town came to hear their mayor",-4.5465202331543,0.96546070463922
"234","limb","Rel",273,1.57,0,"Josie found she could not bend the elbow of her broken limb","Josie found she could not bend the elbow of her broken",-6.23483276367188,0.487494340130106
"235","incorrect","Rel",275,1.19,0,"It's hard to admit when one is incorrect","It's hard to admit when one is",-8.5893440246582,-0.179074892323793
"236","uttered","Rel",276,1.26,0,"Vic asked her to repeat what she had uttered","Vic asked her to repeat what she had",-9.09581851959229,-0.322459347917462
"237","castle","Rel",281,1.59,0,"When they were in London they visited Buckingham castle","When they were in London they visited Buckingham",-9.99752807617188,-0.577736040360979
"238","assignment","Rel",282,1.13,0,"The agent was sent to South America on a secret assignment","The agent was sent to South America on a secret",-6.63826465606689,0.373281555796885
"239","wind","Rel",283,2.07,0,"Sam knew that rain was coming because he could smell it in the wind","Sam knew that rain was coming because he could smell it in the",-4.87867879867554,0.871425613900375
"240","bonus","Rel",286,1.41,0,"His boss refused to give him a bonus","His boss refused to give him a",-7.61664009094238,0.0963005222028856
"241","rest","Rel",287,1.17,0.0357142857142857,"She flew in late last night and really didn't get much rest","She flew in late last night and really didn't get much",-6.07893371582031,0.531629830322316
"242","hunt","Rel",288,2,0.0344827586206896,"After a week, they gave up on the missing hikers and called off the hunt","After a week, they gave up on the missing hikers and called off the",-4.50888252258301,0.976116053909589
"243","project","Unrel",1,1.75,0,"Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major project","Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major",-6.1326117515564,0.516433416666072
"244","jacket","Unrel",8,1.5,0.03125,"The cigar burned a hole in the jacket","The cigar burned a hole in the",-7.79986763000488,0.0444282538043287
"245","role","Unrel",11,1.44,0,"His first film was a failure, but he learned some techniques in that first role","His first film was a failure, but he learned some techniques in that first",-6.52353477478027,0.405761930886157
"246","ideas","Unrel",17,1.09,0.15625,"He was hired for the job because of his fresh new ideas","He was hired for the job because of his fresh new",-6.43306255340576,0.43137488936262
"247","stores","Unrel",18,1.89,0.0344827586206896,"The journal issue that has the new article about diseases of the eye is still in stores","The journal issue that has the new article about diseases of the eye is still in",-10.1037797927856,-0.607816221485481
"248","meeting","Unrel",22,1.21,0,"Every spring they held the annual meeting","Every spring they held the annual",-4.50181770324707,0.978116125550872
"249","instructions","Unrel",23,1.36,0,"Penelope started to assemble her new bicycle, but was missing the instructions","Penelope started to assemble her new bicycle, but was missing the",-8.70005989074707,-0.210418887615797
"250","menus","Unrel",24,1.06,0.15625,"The restaurant will reopen with new menus","The restaurant will reopen with new",-5.49053430557251,0.698207476292421
"251","sap","Unrel",28,1.57,0.0333333333333333,"Jennifer disliked walking under the trees at the edge of the park because they were always full of sap","Jennifer disliked walking under the trees at the edge of the park because they were always full of",-9.49538803100586,-0.435578680556947
"252","abstract","Unrel",36,1.63,0.03125,"The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or abstract","The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or",-8.4596586227417,-0.142360564281146
"253","cement","Unrel",37,1.85,0.0344827586206896,"I don't know why people like to see their initials in cement","I don't know why people like to see their initials in",-12.6152677536011,-1.31882603065355
"254","fragile","Unrel",38,1.46,0.125,"The gem cutter examined the ruby very closely before cutting because he knew that one this large was very fragile","The gem cutter examined the ruby very closely before cutting because he knew that one this large was very",-5.82762384414673,0.602776412224573
"255","statue","Unrel",39,1.24,0.064516129032258,"They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's statue","They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's",-6.20507907867432,0.495917698004891
"256","disabled","Unrel",40,1.31,0,"He took a job training dogs for the disabled","He took a job training dogs for the",-8.40340042114258,-0.126433697894678
"257","engineer","Unrel",41,1.4,0,"The conductor gave detailed instructions to the engineer","The conductor gave detailed instructions to the",-5.12544202804565,0.801566200133893
"258","music","Unrel",45,1.22,0,"Down in the basement, Steve and Robert were playing music","Down in the basement, Steve and Robert were playing",-6.69139099121094,0.358241330240598
"259","country","Unrel",47,1.28,0,"After the most recent price increase, the small business owner decided to order his office supplies from another country","After the most recent price increase, the small business owner decided to order his office supplies from another",-4.33215045928955,1.02614943354616
"260","keys","Unrel",48,1.41,0.03125,"Sharon was sad that she had lost her keys","Sharon was sad that she had lost her",-8.23094177246094,-0.0776101348111012
"261","ships","Unrel",50,2.83,0,"All of armed services will admit women, but females are barred from ships","All of armed services will admit women, but females are barred from",-10.8852081298828,-0.829040938269544
"262","ugly","Unrel",51,1.42,0,"After the divorce, she had to move out of the expensive house to an apartment that was ugly","After the divorce, she had to move out of the expensive house to an apartment that was",-8.21780490875244,-0.0738910491120353
"263","marriage","Unrel",52,1.54,0.0344827586206896,"His tactics usually turned out to be beneficial for the business, but they often came in conflict with his marriage","His tactics usually turned out to be beneficial for the business, but they often came in conflict with his",-9.77050018310547,-0.51346375976738
"264","terrible","Unrel",53,1.52,0,"Some of his jokes were crummy, but those one-liners were terrible","Some of his jokes were crummy, but those one-liners were",-7.20875835418701,0.21177307088252
"265","meal","Unrel",60,1.79,0.0344827586206896,"The inspector from the health department found a roach in a very expensive meal","The inspector from the health department found a roach in a very expensive",-9.63927936553955,-0.476314750927964
"266","politician","Unrel",61,1.63,0,"The conductor had no idea that the train had been boarded by a known politician","The conductor had no idea that the train had been boarded by a known",-7.62646102905273,0.0935201850319978
"267","pillow","Unrel",64,1.06,0.03125,"The nurse brought him a glass of juice and his pillow","The nurse brought him a glass of juice and his",-8.78420829772949,-0.23424155518333
"268","chaos","Unrel",65,1.19,0,"The teacher was not looking forward to another year of chaos","The teacher was not looking forward to another year of",-8.12726497650146,-0.0482589214824228
"269","event","Unrel",67,1.36,0,"Steve skipped his annual checkup for another event","Steve skipped his annual checkup for another",-6.87163352966309,0.307214124509052
"270","short","Unrel",72,1.55,0.103448275862069,"The candidate wanted to please everyone without making any commitments, so his speech was deliberately short","The candidate wanted to please everyone without making any commitments, so his speech was deliberately",-4.66144609451294,0.932924847001044
"271","dishes","Unrel",74,1.13,0,"She poured water on the dishes","She poured water on the",-8.4383716583252,-0.13633416051426
"272","expensive","Unrel",81,1.38,0.0333333333333333,"Mark liked the older houses, but Susan wanted to buy one that was new and expensive","Mark liked the older houses, but Susan wanted to buy one that was new and",-4.72676563262939,0.914432688943456
"273","neighbor","Unrel",82,1.63,0,"In an old sitcom, he was the wise family neighbor","In an old sitcom, he was the wise family",-8.1782341003418,-0.0626884340186532
"274","wrong","Unrel",83,1.64,0,"The government controlled the news media, so most of the reports from the war zone were wrong","The government controlled the news media, so most of the reports from the war zone were",-6.79202365875244,0.329751918839427
"275","tooth","Unrel",84,1.67,0.09375,"Grinning wherever he went, it was easy to tell that Carl was proud of his new gold tooth","Grinning wherever he went, it was easy to tell that Carl was proud of his new gold",-6.98296785354614,0.275695041952014
"276","theatre","Unrel",85,1.09,0,"During the summer, the children hung out at the theatre","During the summer, the children hung out at the",-6.43807029724121,0.429957181993778
"277","king","Unrel",86,1.54,0.03125,"The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be king","The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be",-6.38289833068848,0.445576531965637
"278","bicycle","Unrel",88,1.09,0,"The little girl kept a lock on her bicycle","The little girl kept a lock on her",-7.32765102386475,0.178114197856666
"279","bees","Unrel",89,2.83,0.0333333333333333,"Flying low above her, Bernice could hear the bees","Flying low above her, Bernice could hear the",-10.1298313140869,-0.615191485662714
"280","jaw","Unrel",97,1.63,0,"Perry heard a grinding noise coming from his jaw","Perry heard a grinding noise coming from his",-6.52008247375488,0.406739287708706
"281","leave","Unrel",98,1.96,0,"If Jim's manager is incompetent, he has a legitimate right to leave","If Jim's manager is incompetent, he has a legitimate right to",-4.99379062652588,0.838837108588056
"282","princess","Unrel",101,1.63,0,"In the best part of the movie, the hero has to impersonate the princess","In the best part of the movie, the hero has to impersonate the",-7.38053846359253,0.163141604312547
"283","gown","Unrel",103,1.12,0.03125,"The princess wore a gown","The princess wore a",-4.3382682800293,1.0244174600609
"284","bushes","Unrel",106,1.59,0.0357142857142857,"Jason was disappointed when the other scouts scared off the elk by loudly beating the bushes","Jason was disappointed when the other scouts scared off the elk by loudly beating the",-9.3059253692627,-0.381941230140206
"285","damp","Unrel",107,1.3,0.03125,"After the flood, the house smelled of mildew and everything in it was damp","After the flood, the house smelled of mildew and everything in it was",-5.7774829864502,0.616971440119813
"286","celebrity","Unrel",109,1.36,0,"Everyone on the scene gathered around to look at the celebrity","Everyone on the scene gathered around to look at the",-9.57242584228516,-0.457388317055716
"287","posted","Unrel",115,1.06,0,"The final score of the game was posted","The final score of the game was",-5.90265321731567,0.581535370606547
"288","blue","Unrel",117,1.41,0,"After swimming the English Channel, Bonita was cold and completely blue","After swimming the English Channel, Bonita was cold and completely",-6.98948097229004,0.273851158410688
"289","opinion","Unrel",120,1.56,0,"She had the data to back up everything she said, so the hostile questions did not shake her opinion","She had the data to back up everything she said, so the hostile questions did not shake her",-8.44334888458252,-0.137743228264781
"290","pattern","Unrel",125,1.51,0.0357142857142857,"The new dress was very pretty, but it was cut from an unusual pattern","The new dress was very pretty, but it was cut from an unusual",-3.10706257820129,1.37297550404178
"291","smile","Unrel",128,1.81,0.0344827586206896,"When the little girl saw the big dog lumbering towards her, she began to smile","When the little girl saw the big dog lumbering towards her, she began to",-5.73442649841309,0.629160861618283
"292","parade","Unrel",132,1.24,0.0689655172413793,"From her house a half mile away, Diana could still hear the loud cheers coming from the parade","From her house a half mile away, Diana could still hear the loud cheers coming from the",-10.478554725647,-0.713916134227325
"293","battle","Unrel",133,1.33,0.1,"Five ships did not survive the battle","Five ships did not survive the",-4.65848731994629,0.93376248499606
"294","exploded","Unrel",135,1.61,0,"The paramedics on the scene helped the passengers after the big car exploded","The paramedics on the scene helped the passengers after the big car",-4.84628391265869,0.880596703742024
"295","takeoff","Unrel",136,1.13,0.0666666666666666,"The pilot spoke to an air traffic controller just before the takeoff","The pilot spoke to an air traffic controller just before the",-9.75582426786423,-0.509308963942019
"296","meeting","Unrel",140,1.19,0.142857142857143,"The boy scouts started a long hike through the forest after having a big meeting","The boy scouts started a long hike through the forest after having a big",-6.55927467346191,0.395643857880118
"297","airlines","Unrel",143,1.19,0.0714285714285714,"When traveling, Roger prefers to stick to major airlines","When traveling, Roger prefers to stick to major",-5.84688758850098,0.597322788153554
"298","glasses","Unrel",147,1.61,0.0357142857142857,"While hemming a pair of pants, Bridget accidentally dropped her glasses","While hemming a pair of pants, Bridget accidentally dropped her",-8.124755859375,-0.047548582863603
"299","mine","Unrel",148,1.67,0,"The rangers say that somewhere in the state park is a mine","The rangers say that somewhere in the state park is a",-8.60354232788086,-0.183094474747582
"300","tumors","Unrel",153,1.5,0,"The doctor told him his headaches were due to tumors","The doctor told him his headaches were due to",-8.99416923522949,-0.293682129230977
"301","banners","Unrel",156,1.32,0,"The groups in the parade walked by slowly, each waving their banners","The groups in the parade walked by slowly, each waving their",-6.93010235577822,0.290661423661183
"302","hospital","Unrel",158,1.59,0,"The little girl was very sick, but unfortunately there was no hospital","The little girl was very sick, but unfortunately there was no",-5.03306198120117,0.827719269749447
"303","sky","Unrel",161,1.67,0.1,"The meteor shower should have been spectacular, but the city lights blocked the sky","The meteor shower should have been spectacular, but the city lights blocked the",-2.68491864204407,1.49248572434606
"304","sell","Unrel",162,1,0.0344827586206896,"She was unsure how the book would sell","She was unsure how the book would",-5.32638359069824,0.744679038282175
"305","delivery","Unrel",166,1.61,0,"He was desperate for a job, so finally took something doing door to door delivery","He was desperate for a job, so finally took something doing door to door",-11.1769504547119,-0.911634069488711
"306","procedures","Unrel",168,1.5,0,"The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical procedures","The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical",-7.38749647140503,0.161171771335386
"307","female","Unrel",169,1.35,0,"Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were female","Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were",-7.09745788574219,0.243282568862983
"308","today","Unrel",172,1.27,0.0625,"In the window, they posted the hours they were open for today","In the window, they posted the hours they were open for",-7.05460977554321,0.255412997967606
"309","scratching","Unrel",173,1.79,0,"They sent the kids with measles home from school because they were scratching","They sent the kids with measles home from school because they were",-10.6037702560425,-0.749365028174036
"310","horses","Unrel",174,1.19,0.0344827586206896,"Outside, Cora could hear the running horses","Outside, Cora could hear the running",-7.66709804534912,0.0820157232735299
"311","swim","Unrel",177,1.25,0,"At night they often took a short swim","At night they often took a short",-5.11166667938232,0.805466042847516
"312","banned","Unrel",182,1.93,0,"The wealthy author always points out that she wrote four novels before one was banned","The wealthy author always points out that she wrote four novels before one was",-8.05002975463867,-0.0263933974526409
"313","ball","Unrel",185,2.15,0,"The kitten waited patiently because behind the refrigerator was a ball","The kitten waited patiently because behind the refrigerator was a",-7.42683887481689,0.150033818385374
"314","dark","Unrel",187,1.13,0.0344827586206896,"Norton hates getting up on winter mornings because it is always dark","Norton hates getting up on winter mornings because it is always",-5.88056659698486,0.587788159372247
"315","plants","Unrel",190,1.15,0,"The fertilizer enriched the plants","The fertilizer enriched the",-6.30129337310791,0.46867914134374
"316","doll","Unrel",193,1.5,0,"The young girl passed her friend a doll","The young girl passed her friend a",-10.8640184402466,-0.823042073286056
"317","ruined","Unrel",196,2.43,0,"He tinkered with the engine every weekend until it was absolutely ruined","He tinkered with the engine every weekend until it was absolutely",-5.50678634643555,0.693606474554444
"318","safety","Unrel",197,1.16,0.1875,"When Diane heard the shark warning, she swam as fast as she could for safety","When Diane heard the shark warning, she swam as fast as she could for",-5.66186428070068,0.64970344409268
"319","castle","Unrel",198,1.15,0,"Michael could hear the bells ringing in the tower of the castle","Michael could hear the bells ringing in the tower of the",-4.00667285919189,1.11829312284291
"320","torn","Unrel",200,1.34,0,"When he got home from work on the construction site, his clothes were always torn","When he got home from work on the construction site, his clothes were always",-5.24783706665039,0.766915795911682
"321","tub","Unrel",201,2.19,0,"Kevin propped his head up with a pillow as he basked in the hot tub","Kevin propped his head up with a pillow as he basked in the hot",-4.99797916412354,0.837651320973515
"322","boss","Unrel",203,1.7,0,"He bought it without even asking the boss","He bought it without even asking the",-6.49733209609985,0.413179988172885
"323","older","Unrel",204,1.48,0.0344827586206896,"Barry has considered proposing to his girlfriend, but he wants to wait until he is older","Barry has considered proposing to his girlfriend, but he wants to wait until he is",-5.33468723297119,0.742328252134678
"324","watch","Unrel",205,1,0,"John was disappointed to discover a scratch on his new watch","John was disappointed to discover a scratch on his new",-7.64758443832397,0.0875400842195507
"325","reputation","Unrel",206,1.19,0,"He was afraid that doing drugs would damage his reputation","He was afraid that doing drugs would damage his",-3.71580839157104,1.20063773004132
"326","happy","Unrel",207,1.65,0.0689655172413793,"They've been living together for a long time, but don't think they're actually happy","They've been living together for a long time, but don't think they're actually",-4.37797832489014,1.01317542670893
"327","jokes","Unrel",208,1.44,0,"Dennis the Menance was known for making jokes","Dennis the Menance was known for making",-6.46410226821899,0.422587452572032
"328","help","Unrel",211,1.21,0.03125,"When the shooting started they ran for help","When the shooting started they ran for",-5.06905460357666,0.817529649904188
"329","contaminated","Unrel",212,2.16,0,"The federal agents examined the hundred dollar bill with a microscope to see if it was contaminated","The federal agents examined the hundred dollar bill with a microscope to see if it was",-8.10852336883545,-0.042953115881113
"330","cool","Unrel",213,1.71,0.103448275862069,"Eva turned down the heat and left the sauce on the stove to cool","Eva turned down the heat and left the sauce on the stove to",-3.63347411155701,1.22394681279789
"331","horse","Unrel",215,1.75,0,"Alone in the canyon, he was so spooked he was scared by his own horse","Alone in the canyon, he was so spooked he was scared by his own",-6.85813665390015,0.311035130705497
"332","joke","Unrel",220,1.37,0.0357142857142857,"Betsy could never tell a joke","Betsy could never tell a",-4.9898886680603,0.839941764786802
"333","principal","Unrel",221,1.06,0.03125,"The bad boy was sent to his principal","The bad boy was sent to his",-7.3575005531311,0.169663706180593
"334","tattoos","Unrel",223,2.09,0.0344827586206896,"The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his tattoos","The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his",-5.4784626327455,0.701625003243369
"335","hiding","Unrel",226,1.21,0.03125,"Trying to evade their captors, the escaped prisoners of war lived in constant hiding","Trying to evade their captors, the escaped prisoners of war lived in constant",-9.0010404586792,-0.295627393293537
"336","broken","Unrel",228,1.13,0,"The tip of the knife was broken","The tip of the knife was",-6.05586719512939,0.538160031832538
"337","fly","Unrel",230,1.3,0.125,"The little girl pulled on the rubber band to see how far it would fly","The little girl pulled on the rubber band to see how far it would",-6.39240455627441,0.442885290858683
"338","camp","Unrel",232,1.13,0,"The soldiers had special night vision goggles so they could see the camp","The soldiers had special night vision goggles so they could see the",-7.36678075790405,0.167036452246828
"339","hungry","Unrel",233,1.85,0,"George was born into a wealthy family and has no idea what it's like to be hungry","George was born into a wealthy family and has no idea what it's like to be",-10.1902112960815,-0.632285240498645
"340","castle","Unrel",237,1.71,0,"Looking for bats, Karen descended into the depths of the castle","Looking for bats, Karen descended into the depths of the",-6.5940957069397,0.385785918381958
"341","contrast","Unrel",239,1.44,0,"We finally got a decent picture on the TV after an hour of adjusting the contrast","We finally got a decent picture on the TV after an hour of adjusting the",-8.28385734558105,-0.0925906930033601
"342","state","Unrel",240,2.21,0,"It took a week to get his car fixed because the parts were out of state","It took a week to get his car fixed because the parts were out of",-6.55379343032837,0.397195614326969
"343","vote","Unrel",242,1.12,0,"The dispute was settled by a third vote","The dispute was settled by a third",-5.62818288803101,0.659238747844169
"344","separately","Unrel",244,1.46,0,"Our guests should be arriving separately","Our guests should be arriving",-8.25536727905273,-0.0845250693246746
"345","grease","Unrel",245,1.66,0,"The dough was put in the hot grease","The dough was put in the hot",-5.68513059616089,0.643116680081264
"346","productive","Unrel",250,1.19,0.03125,"Andrew was glad that the meeting was very productive","Andrew was glad that the meeting was very",-5.99736309051514,0.554722720129808
"347","group","Unrel",252,1.48,0,"When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour group","When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour",-5.97492599487305,0.561074729512162
"348","dusk","Unrel",254,2.11,0,"Most shark attacks occur very close to dusk","Most shark attacks occur very close to",-8.19573783874512,-0.0676437951018223
"349","mechanic","Unrel",255,1.61,0.0344827586206896,"He didn't have to spend much money on the car because he found an incredible mechanic","He didn't have to spend much money on the car because he found an incredible",-7.79770660400391,0.0450400467766759
